issn;e_issn;title;short_title
0025-6501;;Mechanical engineering;Mech Eng
0026-8976;;Molecular physics;Mol Phys
0030-4018;;Optics communications;Opt Commun
0094-8373;;Paleobiology;Paleobiology
0370-1573;;Physics reports;Phys Rep
0096-3518;;IEEE transactions on acoustics;IEEE Trans Acoust
0192-8651;1096-987X;Journal of computational chemistry;J Comput Chem
0570-4898;;Applied polymer symposia;Appl Polym Symp
0001-1541;1547-5905;AIChE journal;AIChE J
0005-2175;;Aviation week;Aviat Week Space Technol
0097-8930;;Computer graphics;Comput Graph
0018-9499;;IEEE transactions on nuclear science;IEEE Trans Nucl Sci
0004-7554;;Journal of the Audio Engineering Society;J Audio Eng Soc
0021-8669;;Journal of aircraft;J Aircr
0029-5639;;Nuclear science and engineering;Nucl Sci Eng
0003-018X;;Transactions of the American Nuclear Society;Trans Am Nucl Soc
0279-9308;;Flying safety;Flying Saf
0167-6857;;Plant cell;Plant Cell Tissue Organ Cult
0144-929X;;Behaviour;Behav Inf Technol
0374-3535;;Journal Of Elasticity;J Elast
0191-278X;;Nuclear Tracks And Radiation Measurements;Nucl Tracks Radiat Meas
0276-5055;;BioCycle;Biocycle
0740-3224;1520-8540;Journal of the Optical Society of America;J Opt Soc Am B
0006-8071;;Botanical gazette;Bot Gaz
0764-4450;;Comptes rendus de l;C R Acad Sci II
0168-583X;;Nuclear instruments;Nucl Instrum Methods Phys Res B
0168-9002;;Nuclear instruments;Nucl Instrum Methods Phys Res A
0735-245X;;International Journal Of Radiation Applications And Instrumentation;Int J Rad Appl Instrum D
0891-7086;;Alcohol;Alcohol Drugs Driving
0749-1581;1097-458X;Magnetic resonance in chemistry;Magn Reson Chem
0009-2614;;Chemical physics letters;Chem Phys Lett
0743-7463;1520-5827;Langmuir;Langmuir
0038-075X;;Soil science;Soil Sci
0888-5885;;Industrial;Ind Eng Chem Res
0304-4238;;Scientia horticulturae;Sci
0002-1962;;Agronomy journal;Agron J
0094-8276;;Geophysical research letters;Geophys Res Lett
0045-5067;;Canadian journal of forest research;Can
0890-2720;;The international journal of supercomputer applications;Int J Supercomput Appl
0018-5345;;HortScience;HortScience
0361-5995;;Soil Science Society of America journal;Soil Sci Soc Am J
0888-3777;;Complicated Cardiac Patient;Complicat Card Patient
0167-7764;;Journal of atmospheric chemistry;J Atmos Chem
0897-4756;;Chemistry of materials;Chem Mater
1040-7685;1520-667X;The journal of microcolumn separations;J Microcolumn Sep
0925-5214;;Postharvest biology and technology;Postharvest Biol
0022-4073;;Journal of quantitative spectroscopy;J Quant Spectrosc Radiat Transf
1057-7149;1941-0042;IEEE transactions on image processing;IEEE Trans Image Process
0295-5075;0302-072X;Europhysics letters;Europhys Lett
0925-8574;;Ecological engineering;Ecol Eng
0926-860X;;Applied catalysis;Appl Catal A Gen
0278-6826;;Aerosol science and technology;Aerosol Sci Technol
0028-792X;;New Yorker;New Yorker
1071-5819;;International journal of human;Int J Hum Comput Stud
1077-3142;;Computer vision and image understanding;Comput Vis Image Underst
0735-2689;;Critical reviews in plant sciences;CRC Crit Rev Plant Sci
1051-0761;;Ecological applications;Ecol Appl
0097-8493;;Computers;Comput Graph
1083-4419;1941-0492;IEEE transactions on systems;IEEE Trans Syst Man Cybern B Cybern
1083-4427;;IEEE transactions on systems;IEEE Trans Syst Man Cybern A Syst Hum
0021-9614;;The Journal of chemical thermodynamics;J Chem Thermodyn
0734-2101;;Journal of vacuum science;J Vac Sci Technol A
0378-4371;;Physica A;Physica A
0167-2789;;Physica D;Physica D
0040-5744;;Theoretica chimica acta;Theor Chim Acta
0094-5765;;Acta astronautica;Acta Astronaut
0898-4697;;ASGSB bulletin;ASGSB Bull
0019-1035;;Icarus;Icarus
1089-5639;1520-5215;The journal of physical chemistry;J Phys Chem A
1350-4487;;Radiation measurements;Radiat Meas
1088-6362;;International journal of cognitive ergonomics;Int J Cogn Ergon
0243-3397;;Medicographia;Medicographia
0020-7608;1097-461X;International journal of quantum chemistry;Int J Quantum Chem
0167-6830;1744-5108;Orbit;Orbit
1531-6912;1532-6268;Comparative and functional genomics;Comp
0161-6463;;American Indian culture and research journal;Am Indian Cult Res J
0021-9347;;Journal of black studies;J Black Stud
0021-8294;;Journal for the scientific study of religion;J Sci Study Relig
0591-2385;;Zygon;Zygon
0002-1482;;Agricultural history;Agric Hist
0305-7070;;Journal of southern African studies;J South Afr Stud
0042-0832;;The Urban;Urban Soc Change Review
0704-9722;;Canadian journal of criminology;Can J
1328-1720;;Medical history Australia;Med Hist Aust
0894-8631;;Libraries;Libr Cult
0895-769X;;ANQ;ANQ
0030-4387;;Orbis;Orbis
0543-2960;;Medicamentum;Medicamentum
0038-4941;;Social science quarterly;Soc Sci Q
0970-454X;;Demography India;Demogr India
0771-6826;;Technologia;Technologia
1015-1184;;Sigmund Freud House bulletin;Sigmund Freud House Bull
0738-0593;;International journal of educational development;Int J Educ Dev
0018-2478;;Shigaku zasshi;Shigaku Zasshi
0192-3641;;Bulletin of the Hunt Institute for Botanical Documentation;Bull Hunt Inst Bot Doc
0278-2308;;International social science review;Int Soc Sci Rev
0033-5533;1531-4650;The quarterly journal of economics;Q J Econ
0095-327X;;Armed forces and society;Armed Forces Soc
0013-6727;;Emory magazine;Emory Mag
0022-3808;;The journal of political economy;J Polit Econ
0015-7228;;Foreign policy;Foreign Policy
0012-155X;;Development and change;Dev Change
0004-4687;;Asian survey;Asian Surv
0095-3997;;Administration;Adm Soc
0304-8675;;Asian profile;Asian Profile
0190-745X;;Bulletin of bibliography;Bull Bibliogr
0043-0633;;The Washington monthly;Wash Mon
0037-7333;;Smithsonian;Smithsonian
0028-1301;;Natur und Museum;Nat Mus
0011-3530;;Current history;Curr Hist
0018-7895;;The Huntington Library quarterly;Huntingt Libr Q
0037-7651;;Social and economic studies;Soc Econ Stud
0411-0080;;The Capital chemist;Cap Chem
0006-3339;;Biologist;Biologist
0370-7687;;Revista de la Universidad Nacional de Cordoba;Rev Univ Nac Cordoba
0033-1031;;Prologue;Prologue J Natl Arch
0068-6735;;Proceedings Of The Cambridge Philosophical Society;Proc Camb Philos Soc
0022-3816;;The journal of politics;J Polit
0030-6711;;Journal of the Otto Rank Association;J Otto Rank Assoc
0004-1343;;Ariel;Ariel
0004-5608;;Annals of the Association of American Geographers;Ann Assoc Am Geogr
0361-526X;;The Serials librarian;Ser Libr
0031-9694;;Picturescope;Picturescope
0007-0343;;British book news;Br Book News
0041-798X;;Proceedings;Proc U S Nav Inst
0370-3460;;Rendiconti;Rend Accad Naz XL
0097-9740;;Signs;Signs
0275-8091;;Collections;Collections
0111-8854;;Mentalities;Mentalities
1386-4092;;Veterinair Historisch Genootschap cahier;Vet Historisch Genoot Cah
0923-3970;;Argos;Argos
0946-4158;;Pharmaziehistorische Forschungen;Pharmaziehist Forsch
1049-2259;;Chronicle;Chronicle
1383-7427;;Early science and medicine;Early Sci Med
1363-3554;1477-4569;History workshop journal;Hist Workshop J
1225-505X;;Ui sahak;Uisahak
1373-4857;;Vesalius;Vesalius
0104-5970;1678-4758;Historia;Hist Cienc Saude Manguinhos
1198-4503;;McGill;Mcgill Queens Hannah Inst Stud Hist Med Health Soc
1231-1960;;Medycyna nowozytna;Med Nowozytna
0940-5569;1875-9246;Zeitschrift fur medizinische Psychologie;Z Med Psychol
0103-7331;1809-4481;Physis;Physis
1043-4070;1535-3605;Journal of the history of sexuality;J Hist Sex
0309-2984;;History workshop;Hist Workshop
0831-5698;1481-1634;Canadian social trends;Can Soc Trends
0872-2331;;Medicamento;Medicam Hist Soc
0987-7878;;Revue internationale d;Rev Int Hist Psychanal
0960-2348;;History of Nursing Society journal;Hist Nurs Soc J
0928-303X;;Gewina;Gewina
0394-5065;;Biblioteca di storia della scienza;Bibl Stor Sci
0866-4811;;Lege artis medicinae;Lege Artis Med
1133-990X;;Butlleti de la Societat d;Butll Soc Amics Hist Cienc Farm Catalana
0393-2095;;KOS;Kos
1016-5142;;Pediatrik cerrahi dergisi;Pediatr Cerrahi Derg
0103-4987;;Cadernos da Casa de Oswaldo Cruz;Cad Casa Oswaldo Cruz
1063-1801;1080-6520;Configurations;Configurations
0885-1158;1938-2766;Medical problems of performing artists;Med Probl Perform Art
0963-6625;1361-6609;Public understanding of science;Public Underst Sci
0350-6487;;Medicinski vjesnik;Med Vjesn
0933-3347;;Luzifer;Luzif Amor
0939-351X;;Medizin;Med Ges Gesch
0925-6164;;Screening;Screening
0185-2965;;Medicina tradicional;Med Tradic
0721-3344;;Europaische Hochschulschriften;Eur Hochschulschr VII Med B Gesch Med
0935-3194;;Therapeutikon;Therapeutikon
0930-0198;;Beitrage zur Geschichte der Medizin und ihrer Nebengebiete;Beitr Gesch Med Nebengeb
0048-7511;1080-6628;Reviews in American history;Rev Am Hist
0924-0829;;Tractrix;Tractrix
0955-2359;1477-4674;20 century British history;20 Century Br Hist
0957-0144;;History;Hist Comput
0957-154X;;History of psychiatry;Hist Psychiatry
1053-9816;;History of neuroscience;Hist Neurosci
0269-8897;;Science in context;Sci Context
0775-9053;;Acta medica Catholica;Acta Med Cathol
0393-4292;;Storia e medicina popolare;Stor Med Pop
0816-1860;;Occasional papers on medical history Australia;Occas Pap Med Hist Aust
1122-0228;;Rivista di storia della scienza;Riv Stor Sci
0776-0353;;Acta Belgica historiae medicinae;Acta Belg Hist Med
0394-7394;;Nuncius;Nuncius
1047-9724;;Newsletter;Newsl Soc Anc Med Pharm
0340-5702;;Arztliche Kosmetologie;Arztl Kosmetol
0767-3744;;Frenesie;Frenesie
0026-282X;;Microscope;Microscope
0894-5799;;BNI quarterly;BNI Q
8756-7296;;American heritage of invention;Am Herit Invent Technol
0268-0688;;Chronicle;Chron R Coll Physicians Edinb
0035-1776;1955-2343;Revue de synthese;Rev Synth
0248-3521;;Litterature;Litt Med Soc
0246-2826;;Analytica;Analytica
0892-2772;;Medical humanities review;Med Humanit Rev
0294-0337;;Sciences sociales et sante;Sci Soc Sante
0829-2507;1918-7750;Scientia canadensis;Sci Can
0891-4575;;Medicine;Med Geogr Herit
0761-6023;;Revue internationale d;Rev Int Hist Psychiatr
0198-6155;;The Journal of ophthalmic photography;J Ophthalmic Photogr
0893-8520;;AARCTimes;AARC Times
0177-4352;;Kunst;Kunst Ther
0970-1672;;MAAS journal of Islamic science;MAAS J Islam Sci
0211-9536;;Dynamis;Dynamis
0185-5093;;Quipu;Quipu
0176-876X;;Soemmerring;Soemmering Forsch
0233-2930;;Beitrage zur Hochschul;Beitr Hochsch Wissenschaftsgesch Erfurts
0035-9122;;Transactions of the Royal Society of Canada;Trans R Soc Can
0959-3306;;Action;Action Natl
1096-5904;;Veterinary heritage;Vet Herit
0743-9229;;Medical heritage;Med Herit
0392-6699;;Eos;EOS
0266-0342;;Southampton medical journal;Southampt Med J
0013-2144;;Eesti NSV Teaduste Akadeemia toimetised;Eesti Nsv Tead Akad TOIM Biol
0721-3859;;Marburger Schriften zur Medizingeschichte;Marbg Schrift Medgesch
0168-9827;;Nieuwe Nederlandse bijdragen tot de geschiedenis der geneeskunde en der natuurwetenschappen;Nieuwe Ned Bijdr Geschied Geneeskd Natuurwet
0392-4955;;Storia e critica della psicologia;Stor Crit Psicol
0736-2714;;Contributions in psychology;Contrib Psychol
0740-8218;;Indiana medical history quarterly;Indiana Med Hist Q
0722-7159;;Braunschweiger veroffentlichungen zur geschichte der pharmazie und der naturwissenschaften;Braunschw Veroff Gesch Pharm Naturwiss
0255-7053;;Zhonghua yi shi za zhi;Zhonghua Yi Shi Za Zhi
0254-8712;;Nova acta Paracelsica;Nova Acta Paracelsica
0735-4320;;Newsletter;Newsl Hist Anthropol
0285-4821;;Historia scientiarum;Hist Sci
0556-7300;;Revue de la Societe francaise d;Rev Soc Fr Hist Art Dent
0560-4567;;Revista de la Sociedad Venezolana de Historia de la Medicina;Rev Soc Venez Hist Med
0167-2088;;Tijdschrift voor de geschiedenis der geneeskunde;Tijdschr Geschied Geneeskd Natuurwet Wiskd Tech
0160-7847;;Fundamenta scientiae;Fundam Sci
0085-0748;;Folia mendeliana;Folia Mendeliana
0174-268X;;Arbeiten zur Geschichte der Medizin in Giessen;Arb Gesch Med Giessen
0026-4695;1573-1871;Minerva;Minerva
0147-8885;;Journal of histotechnology;J Histotechnol
0270-0611;;Publication;Publ Am Inst Hist Pharm
0258-2058;;Adler Museum bulletin;Adler Mus Bull
0041-5243;;Unesco bulletin for libraries;Unesco Bull Libr
0196-6871;;The New York medical quarterly;N Y Med Q
0170-6233;1522-2365;Berichte zur Wissenschaftsgeschichte;Ber Wiss
0106-9497;;Aarsberetning;Arsberet Kbh Univ Med Hist Inst Mus
0210-9360;;Acta historico;Acta Hist Med Vallisoletana Monogr
0196-0431;;The Bookman;Bookman
0250-491X;;Studies in philosophy of medicine;Stud Philos Med
0094-0798;1533-8592;The Oral history review;Oral Hist Rev
0250-4723;;Hamdard medicus;Hamdard Med
0379-7031;;Weleda Korrespondenzblatter fur Aerzte;Weleda Korrespondenzbl Aerzte
0363-891X;;The Psychohistory review;Psychohist Rev
0379-2927;;Journal for the history of Arabic science;J Hist Arabic Sci
0028-9795;;Niedersachsisches Aerzteblatt;Niedersachs Arztebl
0720-3489;;Arzteblatt Baden;Arztebl Baden Wurtt
0342-4952;;Studien zur Geschichte des Krankenhauswesens;Stud Gesch Krankenhauswesens
0163-0849;;Report;Rep Inst Hum Values
0391-3341;;Annali dell;Ann Ist Mus Stor Sci Fir
0306-3968;;Race;Race Cl
0344-6948;;Wurzburger medizinhistorische Forschungen;Wurzbg Medizinhist Forsch
0347-8998;;Sydsvenska medicinhistoriska sallskapets arsskrift;Sydsven Medicinhist Sallsk Arsskr
0569-9886;;Anales chilenos de historia de la medicina;An Chil Hist Med
0363-1990;;Journal of family history;J Fam Hist
0105-1423;;Historia medicinae veterinariae;Hist Med Vet
0091-4266;;History of childhood quarterly;Hist Child Q
0361-9001;;Chinese science;Chin Sci
0003-2514;;Anales de medicina;An Med
0378-3049;;Hexagon Roche;Hexagon Roche Engl
0308-0188;;Interdisciplinary science reviews;Interdiscip Sci Rev
0524-8949;;Annales Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae;Ann Univ Sci Budap Rolando Eotvos Nominatae Biol
0307-6792;;The Society for the Social History of Medicine bulletin;Soc Soc Hist Med Bull
0304-9558;;Bulletin of the Indian Institute of History of Medicine;Bull Indian Inst Hist Med Hyderabad
0306-9842;;The Transactions of the Hunterian Society;Trans Hunter Soc
0026-1742;;Revista de la Facultad de Medicina;Rev Fac Med Univ Nac Auton Mex
0370-7415;;Revista de la Sociedad Mexicana de Historia Natural;Rev Soc Mex Hist Nat
0003-049X;;Proceedings of the American Philosophical Society;Proc Am Philos Soc
0440-9043;;Historia hospitalium;Hist Hosp
0583-7480;;Boletin de la Sociedad Espanola de Historia de la Medicina;Bol Soc Esp Hist Med
0583-7472;;Boletin de la Sociedad Espanola de Historia de la Farmacia;Bol Soc Esp Hist Farm
0583-8142;;Annales de la Societe belge d;Ann Soc Belg Hist Hop
0306-3127;1460-3659;Social studies of science;Soc Stud Sci
0020-2681;;Journal of the Institute of Actuaries;J Inst Actuar
0018-9642;;Bulletin de l;Bull Inst Fond Afr Noire Ser B
1370-7515;;Bulletin;Bull Cercle Benelux Hist Pharm
0035-8800;;Annals;Ann R Coll Physicians Surg Can
0396-9681;;Histoire et nature;Hist Nat
0037-8984;;Bulletins et memoires de la Societe d;Bull Mem Soc Anthropol Paris
0048-7996;;Revue d;Rev Hist Sci
0004-8690;;The Australian and New Zealand journal of sociology;Aust N Z J Sociol
0065-9762;;Year book;Yearb Am Philos Soc
0303-6480;;Nordisk medicinhistorisk arsbok;Nord Medicinhist Arsb
0006-128X;;Papers;Pap Bibliogr Soc Am
0006-0941;;La Bibliofilia;Bibliofilia
0067-9488;;The Bodleian Library record;Bodleian Libr Rec
0017-8136;;Harvard library bulletin;Harv Libr Bull
0001-4249;;The Academy bookman;Acad Bookman
0043-5651;;Wilson library bulletin;Wilson Libr Bull
0044-2380;;Zeitschrift fur Bibliothekswesen und Bibliographie;Z Bibliothekswes Bibliogr
0024-2543;;Library science with a slant to documentation;Lib Sci Slant Doc
0024-2594;;Library trends;Libr Trends
0021-4264;;Janus;Janus
0023-4109;;Korot;Korot
0026-9867;;Monspeliensis Hippocrates;Monspel Hippocrates
0514-4264;;Zurcher medizingeschichtliche Abhandlungen;Zur Medizingesch Abh
0042-8744;;Voprosy filosofii;Vopr Filos
0082-4003;;Theriaca;Theriaca
0040-165X;1097-3729;Technology and culture;Technol Cult
0037-783X;1944-768X;Social research;Soc Res
0036-8156;;Science and culture;Sci Cult
0036-312X;;St;St Marys Hosp Gaz
0035-4481;;Rheinisches Arzteblatt;Rheinisches Arztebl
0035-0885;;Revue belge d;Rev Belg Homoeopath
0034-673X;;Review of religious research;Rev Relig Res
0085-5367;;Quellen und Studien zur Geschichte der Pharmazie;Quellen Stud Gesch Pharm
0031-8078;;The Philosophical journal;Philos J
0028-5773;;New Jersey journal of pharmacy;N J J Pharm
0047-6625;;Medizin in Geschichte und Kultur;Med Gesch Kult
0019-1612;;;Igakushi Kenkyu
0081-6582;;Studia i materialy z dziejow nauki polskiej;Stud Mater Dziej Nauk Pol Ser B
0073-2753;1753-8564;History of science;Hist Sci
0171-9661;;Hessisches Arzteblatt;Hess Arztebl
0405-220X;;Beitrage zur wurttembergischen Apothekengeschichte;Beitr Wurttemb Apothekengesch
0524-2304;;Anthropologia;Anthropologia
0002-9505;;American journal of physics;Am J Phys
0360-9081;;The American archivist;Am Arch
0002-6980;;Ambix;Ambix
0185-1179;;America indigena;Am Indig
0065-1389;;Acta medicae historiae Patavina;Acta Med Hist Patav
0174-870X;;Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften;Abh Gesch Med Naturwiss
0030-2228;1541-3764;Omega;Omega
0071-1853;;Ethnomedizin;Ethnomedizin
0285-2314;;Yakushigaku zasshi;Yakushigaku Zasshi
0029-8786;;Osterreichische Arztezeitung;Osterr Arzteztg
0304-4475;;Barcelona quirurgica;Barc Quir
0010-3551;;Orvostorteneti kozlemenyek;Orvostort Kozl
0044-5177;;Zoologische Jahrbucher;Zool Jahrb Abt Anat Ontogenie Tiere
0301-6943;;Veterinary history;Vet Hist
0528-1725;;The Carolina journal of pharmacy;Carol J Pharm
0035-2330;;Revue d;Rev Hist Med Heb
0036-8687;;Scientia;Scientia
0370-9590;;La Semana medica;Sem Med
0080-4606;;Biographical memoirs of fellows of the Royal Society;Biogr Mem Fellows R Soc
0014-1828;2160-3510;Ethnology;Ethnology
0032-4728;1477-4747;Population studies;Popul Stud
0033-3042;;Psychologische Rundschau;Psychol Rundsch
0132-6422;;Vestis;Vestis Lat Psr Zinat Akad
0019-5677;;Indian journal of the history of medicine;Indian J Hist Med
0022-1139;;Journal of fluorine chemistry;J Fluor Chem
0003-9810;;Archives internationales d;Arch Int Hist Sci
0090-6883;;Synthesis;Synthesis
0300-8169;;Medicina e historia;Med Hist
0300-516X;;Schriftenreihe zur Geschichte der Versammlungen deutscher Naturforscher und Aerzte;Schriftenr Gesch Versamml Dtsch Naturforsch Arzte
0078-7760;;Quaderni per la storia dell;Quad Stor Univ Padova
0036-6978;;NTM;NTM
0300-0540;;Wissenschaftliche Zeitschrift der Karl;Wiss Z Karl Marx Univ Math Naturwiss
0338-9405;;Bulletin d;Bull Audiophonol
0022-7692;;Kagakushi kenkyu;Kagakushi Kenkyu
0324-1300;;Asklepii;Asklepii
0254-8186;;Revue internationale d;Rev Int Hist Mil
0120-2510;;Boletin de antropologia;Bol Antropol
0003-4010;;Annales de geographie;Ann Georgr
0018-7496;;Humanitas;Humanitas
0039-9485;;Tanzania notes and records;Tanzan Notes Rec
0013-2217;;Effluent and water treatment journal;Effluent Water Treat J
0544-067X;;Midway;Midway
0046-7618;;History of medicine;Hist Med
0014-2107;;Etudes freudiennes;Etudes Freud
0440-8888;;Histoire des sciences medicales;Hist Sci Med
0143-2974;;Local population studies;Local Popul Stud
0440-1298;;Wissenschaftliche Beitrage der Martin;Wiss Beitr Martin Luther Univ Halle Wittenberg
0019-5235;;Indian journal of history of science;Indian J Hist Sci
0025-9241;;The Mendel newsletter;Mendel Newsl
0023-1851;;Kiryat sefer;Kiryat Sefer
0079-1393;;Pharmaceutical historian;Pharm Hist
0007-0874;1474-001X;British journal for the history of science;Br J Hist Sci
0013-9637;;Episteme;Episteme
0031-7047;;Pharmacy in history;Pharm Hist
0067-8236;;Bibliothek und Wissenschaft;Bibl Wiss
0034-4338;;Renaissance quarterly;Renaiss Q
0002-8762;1937-5239;The American historical review;Am Hist Rev
0078-6500;;Organon;Organon
0036-8237;;Science and society;Sci Soc
0066-6939;;Arctic anthropology;Arctic Anthropol
0066-2062;;Annales de demographie historique;Ann Demogr Hist
0010-4817;1572-8412;Computers and the humanities;Comput Hum
0081-8658;;Studies in the Renaissance;Stud Renaissance
0081-7600;;Studies in bibliography;Stud Bibliogr
0036-9772;;Scriptorium;Scriptorium
0073-4071;;Huntia;Huntia
0001-5857;;Acta historica Leopoldina;Acta Hist Leopoldina
0032-471X;1549-0955;Population review;Popul Rev
0369-7827;;Osiris;Osiris
0021-2598;;Rivista dell;Riv Ist Vaccinogeno Consorzi Prov Antituberc
0009-840X;;The Classical review;Classical Rev
0304-2596;;Anuario indigenista;Anu Indig
0006-1999;;Bibliotheque d;Bibl Humanisme Renaiss
0049-0903;;Items;Items
0039-3738;;Studies in philology;Stud Philol
0043-2156;;Wehrmedizinische Monatsschrift;Wehrmed Monatsschr
0012-9658;;Ecology;Ecology
0038-7134;;Speculum;Speculum
0045-9178;;Cuadernos de historia de la salud publica;Cuad Hist Salud Publica
0029-3970;;Notes and queries;Notes Queries
0419-800X;;Dusseldorfer Arbeiten zur Geschichte der Medizin;Dusseld Arb Gesch Med
0074-9729;;Veroffentlichungen der Internationalen Gesellschaft fur Geschichte der Pharmazie e;Veroff Int Ges Gesch Pharm
0343-3048;;Zentralblatt Haut;Zentralbl Haut Und Geschlechtskr
0890-9997;;Historical studies in the physical and biological sciences;Hist Stud Phys Biol Sci
0968-7599;;Disability;Disabil Soc
1402-9871;;Svensk medicinhistorisk tidskrift;Sven Med Tidskr
0951-631X;1477-4666;Social history of medicine;Soc Hist Med
0953-0932;;Proceedings of the Royal College of Physicians of Edinburgh;Proc R Coll Physicians Edinb
0886-5191;;Y;Y
0882-696X;;The Guthrie journal of the Donald Guthrie Foundation for Medical Research;Guthrie J Donald Guthrie Found Med Res
0559-1996;;Report of proceedings;Rep Proc Scott Soc Hist Med
0084-9316;;Aarsberetning;Arsberet Kobenhavns Univ Med Hist Mus
0321-1665;;Izvestiia Akademii nauk Gruzinskoi SSR;Izv Akad Gruz Ssr
0151-4105;;Revue d;Rev Hist Sci Paris
0040-120X;;La Technique de l;Tech Eau Assainissement
0304-9566;;Bulletin of the Institute of History of Medicine;Bull Inst Hist Med Hyderabad
0033-3298;;Public administration;Public Adm
0029-9413;;Mitteilungen der osterreichischen Sanitatsverwaltung;Mitt Osterr Sanitatsverwalt
0017-4874;;Die Waage;Waage
0539-0184;;Social sciences information;Soc Sci Inf
0886-8220;;Contributions in medical studies;Contrib Med Stud
0197-9175;;Migration today;Migr Today
0022-5231;;Journal of thought;J Thought
0047-2441;;Journal of European studies;J Eur Stud
0022-5037;1086-3222;Journal of the history of ideas;J Hist Ideas
0743-6033;;Snakeroot extract;Snakeroot Extr
0300-7839;;Human ecology;Hum Ecol Interdiscip J
1053-8712;1547-0679;Journal of child sexual abuse;J Child Sex Abus
0945-7704;;Pharmaziehistorische Bibliographie;Pharmaziehist Bibliogr
0021-9118;;The Journal of Asian studies;J Asian Stud
0214-2813;;Boletin;Bol Soc Esp Hidrol Med
0003-3790;;Annals of science;Ann Sci
0727-3061;;Historical records of Australian science;Hist Rec Aust Sci
0026-4148;;Military review;Mil Rev
0039-1875;;Storia contemporanea;Stor Contemp
0038-0245;;Sociological inquiry;Sociol Inq
0048-9255;;Scalpel;Scalpel Tongs
1093-4510;1939-0610;History of psychology;Hist Psychol
0042-5222;;Victorian studies;Vic Stud
0255-0849;;Bibliographie internationale de la demographie historique;Bibliogr Int Demogr Hist
0781-5859;;Hippokrates;Hippokrates
0722-348X;;Zeitschrift fur Phytotherapie;Z Phytother
0925-1421;;Studies in ancient medicine;Stud Anc Med
0280-5537;;Sydsvenska medicinhistoriska sallskapets arsskrift;Sydsven Medicinhist Sallsk Arsskr Suppl
0175-6788;;Jahrbuch des Instituts fur Geschichte der Medizin der Robert Bosch Stiftung;Jahrb Inst Gesch Med Robert Bosch Stift
0255-6693;;Veroffentlichungen der Schweizerischen Gesellschaft fur Geschichte der Pharmazie;Veroff Schweiz Ges Gesch Pharm
0212-7482;;Anales;An Ilustre Col Of Med
0260-9541;1755-6260;Archives of natural history;Arch Nat Hist
0228-0086;;HSTC bulletin;Hstc Bull
0703-8240;;International journal of women;Int J Womens Stud
0340-644X;;Saarlandisches Aerzteblatt;Saarl Arztebl
0172-7036;;Kolner medizinhistorische Beitrage;Koln Med Beitr
0149-6700;;Studies in history of biology;Stud Hist Biol
0037-749X;;Soap;Soap Perfum Cosmet
0035-9149;1743-0178;Notes and records of the Royal Society of London;Notes Rec R Soc Lond
0259-0794;;Salzburger Beitrage zur Paracelsusforschung;Salzburger Beitr Paracelsusforsch
0026-9689;;Le Moniteur des pharmacies et des laboratoires;Monit Pharm Lab
0027-7460;;Nachrichtenblatt;Nachrichtenbl Dtsch Ges Gesch Med Naturwiss Tech
2280-6377;;Strada maestra;Strada Maestra
0302-2358;;Archives internationales Claude Bernard;Arch Int Claude Bernard
0020-7837;;International library review;Int Libr Rev
0549-3323;;Nihon ishigaku zasshi;Nihon Ishigaku Zasshi
0515-2143;;Atti della Accademia delle scienze dell;Atti Accad Sci Ist Bologna Classe Sci Fis Rend
0084-9588;;Dansk medicinhistorisk arbog;Dan Medicinhist Arbog
1522-8649;;Bulletin of anesthesia history;Bull Anesth Hist
0049-8637;;Zeitschrift fur Entwicklungspsychologie und Padagogische Psychologie;Z Entwicklungspsychol Padagog Psychol
0031-1723;;Parameters;Parameters
0003-9519;1432-0657;Archive for history of exact sciences;Arch Hist Exact Sci
0164-1239;;Annals of the history of computing;Ann Hist Comput
0022-0388;;The journal of development studies;J Dev Stud
0210-4466;1988-3102;Asclepio;Asclepio
0032-0447;;Plains anthropologist;Plains Anthropol
0035-2349;;Revue d;Rev Hist Pharm
0016-7428;;Geographical review;Geogr Rev
0009-739X;1578-147X;Cirugia espanola;Cir Esp
0009-3637;;Chicago medicine;Chic Med
0041-7939;;Quarterly journal;Q J Libr Cong
0039-3681;;Studies in history and philosophy of science;Stud Hist Philos Sci
0583-8517;;Bulletin;Bull Soc Fr Hist Hop
0007-6805;;Business history review;Bus Hist Rev
0160-0168;;Bulletin of research in the humanities;Bull Res Humanit
0275-3650;;Journal of library history;J Libr Hist
0022-2232;;Journal of librarianship;J Libr
0034-3986;;Religion in life;Relig Life
0019-6673;;Indiana magazine of history;Indiana Mag Hist
1300-669X;;Yeni tip tarihi arastirmalari;Yeni Tip Tarihi Arastirmalari
0324-1645;;Etudes balkaniques;Etud Balk
0185-0148;;Demografia y economia;Demogr Econ
0253-7400;;Archiv der Geschichte der Naturwissenschaften;Arch Gesch Naturwiss
0160-8460;;Annotation;Annotation
0177-5227;;Wurzburger medizinhistorische Mitteilungen;Wurzbg Medizinhist Mitt
0740-9710;;Food;Food Foodways
0560-3870;;Newsletter;Newsl Soc Welf Hist Group
0886-1102;;Publication of the Society for Literature and Science;Publ Soc Lit Sci
0399-1253;;Peuples mediterraneens;Mediterr Peoples
0006-1719;;Boletin Del Instituto De Investigaciones Bibliograficas;Bol Inst Invest Bibliogr
