issn;e_issn;title;short_title;period;publisher
1710-6222;;JOURNAL OF POPULATION THERAPEUTICS AND CLINICAL PHARMACOLOGY;J POPUL THER CLIN PHARMACOL;Quarterly;PULSUS GROUP INC, 2902 S SHERIDAN WAY, OAKVILLE, CANADA, ONTARIO, L6J 7L6
1380-2224;1573-4854;JOURNAL OF POROUS MATERIALS;;Bimonthly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
1091-028X;1934-0508;JOURNAL OF POROUS MEDIA;J POROUS MEDIA;Bimonthly;BEGELL HOUSE INC, 50 CROSS HIGHWAY, REDDING, USA, CT, 06896
1088-4246;1099-1409;JOURNAL OF PORPHYRINS AND PHTHALOCYANINES;J PORPHYR PHTHALOCYANINES;Monthly;WORLD SCI PUBL CO INC, 27 WARREN ST, STE 401-402, HACKENSACK, USA, NJ, 07601
0095-4918;;JOURNAL OF PORTFOLIO MANAGEMENT;;Quarterly;INST INVESTOR INC, 225 PARK AVE SOUTH, NEW YORK, USA, NY, 10003
1098-3007;1538-4772;JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS;J POSIT BEHAV INTERV;Quarterly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
1743-9760;1743-9779;JOURNAL OF POSITIVE PSYCHOLOGY;J POSIT PSYCHOL;Bimonthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0160-3477;;JOURNAL OF POST KEYNESIAN ECONOMICS;J POST KEYNES ECON;Quarterly;M E SHARPE INC, 80 BUSINESS PARK DR, ARMONK, USA, NY, 10504
1744-9855;1744-9863;JOURNAL OF POSTCOLONIAL WRITING;;Bimonthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0022-3859;0972-2823;JOURNAL OF POSTGRADUATE MEDICINE;;Quarterly;MEDKNOW PUBLICATIONS & MEDIA PVT LTD, B-9, KANARA BUSINESS CENTRE, OFF LINK RD, GHAKTOPAR-E, MUMBAI, INDIA, 400075
1346-7395;;JOURNAL OF POULTRY SCIENCE;J POULT SCI;Quarterly;JAPAN POULTRY SCIENCE ASSOC, C/O NATL INST LIVESTOCK & GLASSLAND SCIENCE, 2 IKENODAI, TSUKUBA, JAPAN, IBARAKI, 305-0901
1598-2092;;JOURNAL OF POWER ELECTRONICS;;Bimonthly;KOREAN INST POWER ELECTRONICS, RM 408, KOREA SCIENCE & TECHNOLOGY BLDG, 635-4, YEOKSAM-DONG, KANGNAM-GU, SEOUL, SOUTH KOREA, 135-703
0378-7753;;JOURNAL OF POWER SOURCES;J POWER SOURCES;Semimonthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
1354-0270;;JOURNAL OF PRACTICAL ECOLOGY AND CONSERVATION;;Semiannual;WILDTRACK PUBLISHING, P. O. BOX 1142, SHEFFIELD, ENGLAND, S1 1SZ
0378-2166;1879-1387;JOURNAL OF PRAGMATICS;J PRAGMAT;Monthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
1060-149X;;JOURNAL OF PRE-RAPHAELITE STUDIES-NEW SERIES;;Semiannual;JOURNAL PRE-RAPHAELITE STUDIES, C/O DAVID LATHAM, EDITOR, YORK UNIV, 208 STONG COLLEGE, TORONTO, CANADA, ONTARIO, M3J 1P3
1521-9216;;JOURNAL OF PRESBYTERIAN HISTORY;;Semiannual;PRESBYTERIAN HISTORICAL SOC, 425 LOMBARD ST, PHILADELPHIA, USA, PA, 19147
0094-9930;1528-8978;JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME; TRANSACTIONS OF THE ASME;Bimonthly;ASME, TWO PARK AVE, NEW YORK, USA, NY, 10016-5990
0278-095X;1573-6547;JOURNAL OF PRIMARY PREVENTION;J PRIM PREV;Quarterly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0959-1524;;JOURNAL OF PROCESS CONTROL;J PROCESS CONTROL;Monthly;ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB
0737-6782;1540-5885;JOURNAL OF PRODUCT INNOVATION MANAGEMENT;;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0895-562X;1573-0441;JOURNAL OF PRODUCTIVITY ANALYSIS;;Bimonthly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
1052-3928;;JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE;;Quarterly;ASCE-AMER SOC CIVIL ENGINEERS, 1801 ALEXANDER BELL DR, RESTON, USA, VA, 20191-4400
8755-7223;1532-8481;JOURNAL OF PROFESSIONAL NURSING;J PROF NURS;Bimonthly;W B SAUNDERS CO-ELSEVIER INC, 1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899
0748-4658;1533-3876;JOURNAL OF PROPULSION AND POWER;;Bimonthly;AMER INST AERONAUTICS  ASTRONAUTICS, 1801 ALEXANDER BELL DRIVE, STE 500, RESTON, USA, VA, 22091-4344
0022-3913;1097-6841;JOURNAL OF PROSTHETIC DENTISTRY;J PROSTHET DENT;Monthly;MOSBY-ELSEVIER, 360 PARK AVENUE SOUTH, NEW YORK, USA, NY, 10010-1710
1883-1958;2212-4632;JOURNAL OF PROSTHODONTIC RESEARCH;J PROSTHODONT RES;Quarterly;ELSEVIER IRELAND LTD, ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, IRELAND, 00000
1059-941X;1532-849X;JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY;J PROSTHODONT;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1535-3893;1535-3907;JOURNAL OF PROTEOME RESEARCH;J PROTEOME RES;Bimonthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
1874-3919;1876-7737;JOURNAL OF PROTEOMICS;J PROTEOMICS;Semimonthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
0917-4427;;JOURNAL OF PROTOZOOLOGY RESEARCH;J. PROTOZOOL. RES.;Quarterly;NATL RESEARCH CENTER PROTOZOAN DISEASES, OBIHIRO UNIV, NISHI 2-13, INADA-CHO, OBIHIRO, JAPAN, HOKKAIDO, 080-8555
1662-9981;1662-999X;JOURNAL OF PSEUDO-DIFFERENTIAL OPERATORS AND APPLICATIONS;;Quarterly;SPRINGER BASEL AG, PICASSOPLATZ 4, BASEL, SWITZERLAND, 4052
1351-0126;1365-2850;JOURNAL OF PSYCHIATRIC AND MENTAL HEALTH NURSING;J PSYCHIATR MENT HEALTH NURS;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1527-4160;1538-1145;JOURNAL OF PSYCHIATRIC PRACTICE;J PSYCHIATR PRACT;Bimonthly;LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103
0022-3956;1879-1379;JOURNAL OF PSYCHIATRIC RESEARCH;J PSYCHIATR RES;Bimonthly;PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB
1180-4882;1488-2434;JOURNAL OF PSYCHIATRY & NEUROSCIENCE;J PSYCHIATRY NEUROSCI;Bimonthly;CMA-CANADIAN MEDICAL ASSOC, 1867 ALTA VISTA DR, OTTAWA, CANADA, ONTARIO, K1G 5W8
0279-1072;;JOURNAL OF PSYCHOACTIVE DRUGS;J PSYCHOACTIVE DRUGS;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0734-2829;;JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT;J PSYCHOEDUC ASSESS;Bimonthly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
0090-6905;1573-6555;JOURNAL OF PSYCHOLINGUISTIC RESEARCH;J PSYCHOLINGUIST RES;Bimonthly;SPRINGER/PLENUM PUBLISHERS, 233 SPRING ST, NEW YORK, USA, NY, 10013
0022-3980;1940-1019;JOURNAL OF PSYCHOLOGY;J PSYCHOL;Bimonthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0091-6471;;JOURNAL OF PSYCHOLOGY AND THEOLOGY;J PSYCHOL THEOL;Quarterly;ROSEMEAD SCHOOL PSYCHOLOGY, 13800 BIOLA AVENUE, BIOLA UNIVERSITY, LA MIRADA, USA, CA, 90639-0001
1433-0237;1815-5626;JOURNAL OF PSYCHOLOGY IN AFRICA;J PSYCHOL AFR;Bimonthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0882-2689;;JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT;J PSYCHOPATHOL BEHAV ASSESS;Quarterly;SPRINGER/PLENUM PUBLISHERS, 233 SPRING ST, NEW YORK, USA, NY, 10013
0269-8811;1461-7285;JOURNAL OF PSYCHOPHARMACOLOGY;J PSYCHOPHARMACOL;Monthly;SAGE PUBLICATIONS LTD, 1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP
0269-8803;2151-2124;JOURNAL OF PSYCHOPHYSIOLOGY;J PSYCHOPHYSIOL;Quarterly;HOGREFE & HUBER PUBLISHERS, ROHNSWEG 25, GOTTINGEN, GERMANY, D-37085
0279-3695;;JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES;J PSYCHOSOC NURS MENT HEALTH SERV;Monthly;SLACK INC, 6900 GROVE RD, THOROFARE, USA, NJ, 08086
0734-7332;1540-7586;JOURNAL OF PSYCHOSOCIAL ONCOLOGY;J PSYCHOSOC ONCOL;Bimonthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0167-482X;1743-8942;JOURNAL OF PSYCHOSOMATIC OBSTETRICS AND GYNECOLOGY;J PSYCHOSOM OBSTET GYNAECOL;Quarterly;INFORMA HEALTHCARE, TELEPHONE HOUSE, 69-77 PAUL STREET, LONDON, ENGLAND, EC2A 4LQ
0022-3999;1879-1360;JOURNAL OF PSYCHOSOMATIC RESEARCH;J PSYCHOSOM RES;Monthly;PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB
1053-1858;1477-9803;JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY;;Quarterly;OXFORD UNIV PRESS, GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP
1097-3923;1467-9779;JOURNAL OF PUBLIC ECONOMIC THEORY;;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0047-2727;;JOURNAL OF PUBLIC ECONOMICS;J PUBLIC ECON;Monthly;ELSEVIER SCIENCE SA, PO BOX 564, LAUSANNE, SWITZERLAND, 1001
1741-3842;1741-3850;JOURNAL OF PUBLIC HEALTH;J PUBLIC HEALTH (OXF);Quarterly;OXFORD UNIV PRESS, GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP
0022-4006;1752-7325;JOURNAL OF PUBLIC HEALTH DENTISTRY;J PUBLIC HEALTH DENT;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1078-4659;1550-5022;JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE;J PUBLIC HEALTH MANAG PRACT;Bimonthly;LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103
0197-5897;1745-655X;JOURNAL OF PUBLIC HEALTH POLICY;J PUBLIC HEALTH POLICY;Quarterly;PALGRAVE MACMILLAN LTD, BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS
0143-814X;;JOURNAL OF PUBLIC POLICY;J PUBLIC POLICY;Tri-annual;CAMBRIDGE UNIV PRESS, EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU
0743-9156;0748-6766;JOURNAL OF PUBLIC POLICY & MARKETING;;Semiannual;AMER MARKETING ASSOC, 311S WACKER DR, STE 5800, CHICAGO, USA, IL, 60606-6629
1062-726X;1532-754X;JOURNAL OF PUBLIC RELATIONS RESEARCH;;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
1077-291X;;JOURNAL OF PUBLIC TRANSPORTATION;;Quarterly;CENTER URBAN TRANSPORTATION RESEARCH, UNIV SOUTH FLORIDA,  COLLEGE ENGINEERING, 4202 EAST FOWLER AVE, CUT100, TAMPA, USA, FL, 33620-5375
1478-4092;;JOURNAL OF PURCHASING AND SUPPLY MANAGEMENT;;Quarterly;ELSEVIER SCI LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB
0022-4049;;JOURNAL OF PURE AND APPLIED ALGEBRA;;Monthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
0973-7510;;JOURNAL OF PURE AND APPLIED MICROBIOLOGY;J PURE APPL MICROBIOL;Quarterly;DR M N KHAN, 54, NEAR POST OFFICE, THANA ST, BHOPAL, INDIA, SHAHJAHANABAD, 462 001
0022-4065;;JOURNAL OF QUALITY TECHNOLOGY;;Quarterly;AMER SOC QUALITY CONTROL-ASQC, 600 N PLANKINTON AVE, MILWAUKEE, USA, WI, 53203
0748-4518;1573-7799;JOURNAL OF QUANTITATIVE CRIMINOLOGY;J QUANT CRIMINOL;Quarterly;SPRINGER/PLENUM PUBLISHERS, 233 SPRING ST, NEW YORK, USA, NY, 10013
0929-6174;1744-5035;JOURNAL OF QUANTITATIVE LINGUISTICS;J QUANT LINGUIST;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0022-4073;;JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER;J QUANT SPECTROSC RADIAT TRANSF;Semimonthly;PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB
0267-8179;1099-1417;JOURNAL OF QUATERNARY SCIENCE;;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0449-3060;1349-9157;JOURNAL OF RADIATION RESEARCH;J RADIAT RES;Bimonthly;OXFORD UNIV PRESS, GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP
0236-5731;1588-2780;JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY;;Monthly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
0952-4746;1361-6498;JOURNAL OF RADIOLOGICAL PROTECTION;J RADIOL PROT;Quarterly;IOP PUBLISHING LTD, TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE
0377-0486;;JOURNAL OF RAMAN SPECTROSCOPY;J RAMAN SPECTROSC;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1060-3999;;JOURNAL OF RAPID METHODS AND AUTOMATION IN MICROBIOLOGY;;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0892-1016;;JOURNAL OF RAPTOR RESEARCH;J. RAPTOR RES.;Quarterly;RAPTOR RESEARCH FOUNDATION INC, 14377 117TH STREET SOUTH, HASTINGS, USA, MN, 55033
1002-0721;;JOURNAL OF RARE EARTHS;;Bimonthly;ELSEVIER SCIENCE BV, PO BOX 211, AMSTERDAM, NETHERLANDS, 1000 AE
0894-9085;1573-6563;JOURNAL OF RATIONAL-EMOTIVE AND COGNITIVE-BEHAVIOR THERAPY;J RATION EMOT COGN BEHAV THER;Quarterly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0895-5638;1573-045X;JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS;;Bimonthly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
0896-5803;;JOURNAL OF REAL ESTATE RESEARCH;;Quarterly;AMER REAL ESTATE SOC, CLEMSON UNIV, SCH BUSINESS & BEHAVIORAL SCI, DEPT FINANCE, 314 SIRRINE HALL, CLEMSON, USA, SC, 29634
1861-8200;1861-8219;JOURNAL OF REAL-TIME IMAGE PROCESSING;;Quarterly;SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121
1079-9893;1532-4281;JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION;J RECEPT SIGNAL TRANSDUCT RES;Quarterly;INFORMA HEALTHCARE, TELEPHONE HOUSE, 69-77 PAUL STREET, LONDON, ENGLAND, EC2A 4LQ
0743-684X;1098-8947;JOURNAL OF RECONSTRUCTIVE MICROSURGERY;J RECONSTR MICROSURG;Monthly;THIEME MEDICAL PUBL INC, 333 SEVENTH AVE, NEW YORK, USA, NY, 10001
1081-597X;;JOURNAL OF REFRACTIVE SURGERY;J REFRACT SURG;Monthly;SLACK INC, 6900 GROVE RD, THOROFARE, USA, NJ, 08086
0951-6328;;JOURNAL OF REFUGEE STUDIES;J REFUG STUD;Quarterly;OXFORD UNIV PRESS, GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP
0022-4146;;JOURNAL OF REGIONAL SCIENCE;J REG SCI;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0922-680X;1573-0468;JOURNAL OF REGULATORY ECONOMICS;J REGUL ECON;Bimonthly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
0022-4154;;JOURNAL OF REHABILITATION;J REHABIL;Quarterly;NATL REHABILITATION ASSOC-NRA, 633 S WASHINGTON ST, ALEXANDRIA, USA, VA, 22314-4109
1650-1977;1651-2081;JOURNAL OF REHABILITATION MEDICINE;J REHABIL MED;Monthly;FOUNDATION REHABILITATION INFORMATION, TRADGARDSGATAN 14, UPPSALA, SWEDEN, SE-753 09
0748-7711;1938-1352;JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT;J REHABIL RES DEV;Monthly;JOURNAL REHAB RES & DEV, DEPT OF VETERANS AFFAIRS REHABIL RES & DEVELOP CTR 103 SOUTH GAY STREET, BALTIMORE, USA, MD, 21202-4051
0731-6844;1530-7964;JOURNAL OF REINFORCED PLASTICS AND COMPOSITES;;Semimonthly;SAGE PUBLICATIONS LTD, 1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP
0022-4189;;JOURNAL OF RELIGION;J RELIG;Quarterly;UNIV CHICAGO PRESS, 1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954
0022-4197;1573-6571;JOURNAL OF RELIGION & HEALTH;;Quarterly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0022-4200;;JOURNAL OF RELIGION IN AFRICA;J RELIG AFR;Quarterly;BRILL ACADEMIC PUBLISHERS, PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA
0384-9694;;JOURNAL OF RELIGIOUS ETHICS;J RELIG ETHICS;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0022-4227;;JOURNAL OF RELIGIOUS HISTORY;J RELIG HIST;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1051-2276;1532-8503;JOURNAL OF RENAL NUTRITION;J REN NUTR;Bimonthly;W B SAUNDERS CO-ELSEVIER INC, 1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899
1941-7012;;JOURNAL OF RENEWABLE AND SUSTAINABLE ENERGY;;Bimonthly;AMER INST PHYSICS, 1305 WALT WHITMAN RD, STE 300, MELVILLE, USA, NY, 11747-4501
1608-4330;;JOURNAL OF RENEWABLE NATURAL RESOURCES BHUTAN;;Annual;BHUTAN MINISTRY AGRICULTURE, PO BOX 252, THIMPHU, BHUTAN, 00000
0916-8818;1348-4400;JOURNAL OF REPRODUCTION AND DEVELOPMENT;J REPROD DEV;Bimonthly;SOCIETY REPRODUCTION & DEVELOPMENT-SRD, C/O KAZUHIRO KIKUCHI, PHD DVM, NATL INST AGROBIOLOGICAL SCIENCES KANNONDAI2-1-2, TSUKUBA, JAPAN, IBARAKI, 305-8602
0264-6838;;JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY;J REPROD INFANT PSYCHOL;Bimonthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0165-0378;1872-7603;JOURNAL OF REPRODUCTIVE IMMUNOLOGY;J REPROD IMMUNOL;Bimonthly;ELSEVIER IRELAND LTD, ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, IRELAND, 00000
0024-7758;;JOURNAL OF REPRODUCTIVE MEDICINE;J REPROD MED;Monthly;SCI PRINTERS & PUBL INC, PO DRAWER 12425 8342 OLIVE BLVD, ST LOUIS, USA, MO, 63132
1443-458X;;JOURNAL OF RESEARCH AND PRACTICE IN INFORMATION TECHNOLOGY;;Quarterly;AUSTRALIAN COMPUTER SOC INC, PO BOX Q534, QVB POST OFFICE, SYDNEY, AUSTRALIA, NSW, 1230
0022-4278;;JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY;J RES CRIME DELINQ;Quarterly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
2319-1546;;JOURNAL OF RESEARCH IN ECOLOGY;;Monthly;FICUS PUBL, ABIYA CHELLIAH, NO 4 108-A, 6TH ST PERUMALPURAM, TAMIL NADU, INDIA, TIRUNELVELI, 627007
1735-1995;1735-7136;JOURNAL OF RESEARCH IN MEDICAL SCIENCES;J RES MED SCI;Monthly;ISFAHAN UNIV MED SCIENCES, HEZARJERIB AVE, PO BOX 81745-319, ISFAHAN, IRAN, 00000
0022-4294;;JOURNAL OF RESEARCH IN MUSIC EDUCATION;;Quarterly;SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320
0092-6566;;JOURNAL OF RESEARCH IN PERSONALITY;J RES PERS;Bimonthly;ACADEMIC PRESS INC ELSEVIER SCIENCE, 525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495
0141-0423;;JOURNAL OF RESEARCH IN READING;J RES READ;Bimonthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0022-4308;1098-2736;JOURNAL OF RESEARCH IN SCIENCE TEACHING;;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1044-677X;;JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY;J RES NATL INST STAND TECHNOL;Irregular;US GOVERNMENT PRINTING OFFICE, SUPERINTENDENT DOCUMENTS,, WASHINGTON, USA, DC, 20402-9325
1050-8392;1532-7795;JOURNAL OF RESEARCH ON ADOLESCENCE;J RES ADOLESC;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1934-5747;1934-5739;JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS;J RES EDUC EFF;Quarterly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0022-4324;2156-5457;JOURNAL OF RESEARCH ON THE LEPIDOPTERA;J RES LEPID;Quarterly;LEPIDOPTERA RESEARCH  FOUNDATION, INC, 2559 PUESTA DEL SOL ROAD, SANTA BARBARA, USA, CA, 93105
1544-8053;;JOURNAL OF RESIDUALS SCIENCE & TECHNOLOGY;;Quarterly;DESTECH PUBLICATIONS, INC, 439 DUKE STREET, LANCASTER, USA, PA, 17602-4967
1674-764X;;JOURNAL OF RESOURCES AND ECOLOGY;;Quarterly;INSTITUTE GEOGRAPHIC SCIENCES & NATURAL RESOURCES RES, CHINESE ACAD SCIENCES, RM 3124, SECT 3, NO 11A DATUN RD, ANDINGMEN WAI, CHAOYANG DISTRICT, BEIJING, PEOPLES R CHINA, 100101
0022-4359;;JOURNAL OF RETAILING;;Quarterly;ELSEVIER SCIENCE INC, 360 PARK AVE SOUTH, NEW YORK, USA, NY, 10010-1710
0148-6055;1520-8516;JOURNAL OF RHEOLOGY;J RHEOL (N Y N Y);Bimonthly;JOURNAL RHEOLOGY AMER INST PHYSICS, STE 1 NO 1, 2 HUNTINGTON QUADRANGLE, MELVILLE, USA, NY, 11747-4502
0315-162X;;JOURNAL OF RHEUMATOLOGY;J RHEUMATOL;Monthly;J RHEUMATOL PUBL CO, 365 BLOOR ST E, STE 901, TORONTO, CANADA, ONTARIO, M4W 3L4
1465-1211;;JOURNAL OF RISK;;Quarterly;INCISIVE MEDIA, HAYMARKET HOUSE, 28-29 HAYMARKET, LONDON, ENGLAND, SW1Y 4RX
0022-4367;;JOURNAL OF RISK AND INSURANCE;J RISK INSUR;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0895-5646;;JOURNAL OF RISK AND UNCERTAINTY;J RISK UNCERTAIN;Bimonthly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
1753-9579;;JOURNAL OF RISK MODEL VALIDATION;;Quarterly;INCISIVE MEDIA, HAYMARKET HOUSE, 28-29 HAYMARKET, LONDON, ENGLAND, SW1Y 4RX
1366-9877;1466-4461;JOURNAL OF RISK RESEARCH;J RISK RES;Monthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0075-4358;1753-528X;JOURNAL OF ROMAN STUDIES;;Annual;CAMBRIDGE UNIV PRESS, EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU
1511-1768;;JOURNAL OF RUBBER RESEARCH;J. RUBBER RES.;Quarterly;RUBBER RES INST MALAYSIA, 260 JALAN AMPANG PO BOX 10150, KUALA LUMPUR, MALAYSIA, 01-02
