title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope;
Transactions of the British Society for the History of Pharmacy;Trans Br Soc Hist Pharm;0068-2519;;;;;;;;;
Aere perennius;Aere Perennius;0303-4658;;;;;;;;;
Munstersche Beitrage zur Geschichte und Theorie der Medizin;Munstersche Beitr Gesch Theor Med;0303-4593;;;;;;;;;
Bulletin;Bull J Rylands Univ Libr Manchester;0301-102X;;;;;;;;;
Archives europeennes de sociologie;Arch Eur Sociol;0003-9756;;;;;;;;;
Ankara Universitesi Yilligi;Ann Univ Ankara;0378-2859;;;;;;;;;
Annuale mediaevale;Annu Mediaev;0066-4456;;;;;;;;;
Antaios;Antaios;0570-2771;;;;;;;;;
Antichthon;Antichthon;0066-4774;;;;;;;;;
Antiek;Antiek;0003-5653;;;;;;;;;
Antike Welt;Antike Welt;0003-570X;;;;;;;;;
The Antioch review;Antioch Rev;0003-5769;;;;;;;;;
L;Antiq Class;0770-2817;;;;;;;;;
Kwartalnik historii nauki i techniki;Kwart Hist Nauki Tech;0023-589X;;;;;;;;;
Journal of the Royal Statistical Society;J R Stat Soc Ser A;0035-9238;;;;;;;;;
The Journal of psychohistory;J Psychohist;0145-3378;;;;;;;;;
Antiquity;Antiquity;0003-598X;;;;;;;;;
Anuario de estudios americanos;Anu Estud Am;0210-5810;;;;;;;;;
Anuario de estudios Atlanticos;Anu Estud Atl;0570-4065;;;;;;;;;
Anuario de estudios medievales;Anu Estud Mediev;0066-5061;;;;;;;;;
Anuarul Institutului de Istorie si Arheologie;Anu Isnt Istor Arheol Xenopol;0074-039X;;;;;;;;;
Anzeiger fur die Altertumswissenschaft;Anz Altertwiss;0003-6293;;;;;;;;;
A;A A G Bijdr;0511-0726;;;;;;;;;
ANZHES journal;Anzhes J;0311-3248;;;;;;;;;
AB bookman;AB Bookm Wkly;0001-0340;;;;;;;;;
Arbetarrorelsens arsbok;Arbetarrorel Arsb;0347-2965;;;;;;;;;
Archiv fur Kultur;Arch Kulturgesch;0003-9233;;;;;;;;;
Archives de philosophie;Arch Philos;0003-9632;;;;;;;;;
Abr;Abr Nahain;0065-0382;;;;;;;;;
Accademie e biblioteche d;Accad Bibl Ital;0001-4451;;;;;;;;;
Archeologia;Archeologia;0137-6616;;;;;;;;;
Der Archivar;Archivar;0003-9500;;;;;;;;;
Appalachian journal;Appalach J;0090-3779;;;;;;;;;
Arab studies quarterly;Arab Stud Q;0271-3519;;;;;;;;;
Arabica;Arabica;0570-5398;;;;;;;;;
Archiv fur Geschichte des Buchwesens;Arch Gesch Buchwes;0066-6327;;;;;;;;;
Archivo ibero;Arch Ibero Am;0004-0452;;;;;;;;;
Archives internationales d;Arch Int Hist Idees;0066-6610;;;;;;;;;
Archiv orientalni;Arch Orient;0044-8699;;;;;;;;;
Archiv fur Orientforschung;Arch Orientforsch;0066-6440;;;;;;;;;
ANU historical journal;ANU Hist J;0001-2068;;;;;;;;;
Aachener Kunstblatter;Aachen Kunstbl;0515-0612;;;;;;;;;
Aastaraamat;Aastaraam Eesti Tead Seltsi Rootsis;0424-6519;;;;;;;;;
Archives des sciences;Arch Sci;0003-9705;;;;;;;;;
Aberdeen University review;Aberdeen Univ Rev;0001-320X;;;;;;;;;
Archivio storico italiano;Arch Stor Ital;0391-7770;;;;;;;;;
Acadiensis;Acadiensis;0044-5851;;;;;;;;;
Archaeologia cantiana;Archaeol Cantiana;0066-5894;;;;;;;;;
Archifacts;Archifacts;0303-7940;;;;;;;;;
L;Archiginnasio;0409-5448;;;;;;;;;
Archaologischer Anzeiger;Archaeol Anz;0003-8105;;;;;;;;;
Archivaria;Archivaria;0318-6954;;;;;;;;;
Aramco world magazine;Aramco World Mag;0146-4132;;;;;;;;;
Archivo hispalense;Arch Hisp;0210-4067;;;;;;;;;
Archives de sciences sociales des religions;Arch Sci Soc Relig;0335-5985;;;;;;;;;
Acta Baltica;Acta Balt;0567-7289;;;;;;;;;
Acta ethnologica et linguistica;Acta Ethnol Linguist;0400-4019;;;;;;;;;
Acta Poloniae historica;Acta Pol Hist;0001-6829;;;;;;;;;
Aegyptus;Aegyptus;0001-9046;;;;;;;;;
The Australian library journal;Aust Libr J;0004-9670;;;;;;;;;
The Archivist;Archivist;0705-2855;;;;;;;;;
Archivmitteilungen;Archivmitteilungen;0004-038X;;;;;;;;;
Arizona and the West;Ariz West;0004-1408;;;;;;;;;
The Arkansas historical quarterly;Ark Hist Q;0004-1823;;;;;;;;;
The Armenian review;Armen Rev;0004-2366;;;;;;;;;
Arquivos do Centro Cultural Portugues;Arq Cent Cult Port;0590-966X;;;;;;;;;
Art in America;Art Am;0898-297X;;;;;;;;;
The Art bulletin;Art Bull;0004-3079;;;;;;;;;
Art history;Art Hist;0141-6790;;;;;;;;;
Artes de Mexico;Artes Mex;0300-4953;;;;;;;;;
Arv;Arv;0066-8176;;;;;;;;;
Asia major;Asia Major;0004-4482;;;;;;;;;
Asian and African studies;Asian Afr Stud;0066-8281;;;;;;;;;
Acta classica;Acta Cl;0065-1141;;;;;;;;;
Asian folklore studies;Asian Folkl Stud;0385-2342;;;;;;;;;
Asian perspective;Asian Perspect;0258-9184;;;;;;;;;
Acta Musei Napocensis;Acta Mus Napocensis;0578-5391;;;;;;;;;
Asian thought;Asian Thought Soc;0361-3968;;;;;;;;;
Acta Universitatis Carolinae;Acta Univ Carol Philos Hist;0567-8293;;;;;;;;;
Atlanta history;Atlanta Hist;0896-3975;;;;;;;;;
The Atlanta historical journal;Atlanta Hist J;0162-5721;;;;;;;;;
Adventist heritage;Advent Herit;0360-389X;;;;;;;;;
Aerospace historian;Aerosp Hist;0001-9364;;;;;;;;;
Aevum;Aevum;0001-9593;;;;;;;;;
African economic history;Afr Econ Hist;0145-2258;;;;;;;;;
African historical studies;Afr Hist Stud;0001-9992;;;;;;;;;
Africana notes and news;Afr Notes News;0002-032X;;;;;;;;;
Afrika und Ubersee;Afr Uebersee;0002-0427;;;;;;;;;
Ausgrabungen und Funde;Ausgrab Funde;0004-8127;;;;;;;;;
Australian cultural history;Aust Cult Hist;0728-8433;;;;;;;;;
Australian economic history review;Aust Econ Hist Rev;0004-8992;;;;;;;;;
Australian historical studies;Aust Hist Stud;1031-461X;;;;;;;;;
Australian journal of French studies;Aust J Fr Stud;0004-9468;;;;;;;;;
The Australian journal of politics and history;Aust J Polit Hist;0004-9522;;;;;;;;;
The Australian quarterly;Aust Q;0005-0091;;;;;;;;;
Austriaca;Austriaca;0396-4590;;;;;;;;;
Asia quarterly;Asia Q;0035-2683;;;;;;;;;
Atti e memorie dell;Atti Mem Accad Toscana Sci Lett Colombaria;0392-0836;;;;;;;;;
Acta Academiae Scientiarum Polonae;Acta Acad Sci Pol;0239-2275;;;;;;;;;
Afro;Afro Am N Y Life Hist;0364-2437;;;;;;;;;
American horseman;Am Horseman;0091-4371;;;;;;;;;
Annali della Fondazione Luigi Einaudi;Ann Fond Luigi Einaudi;0531-9870;;;;;;;;;
American journal of philology;Am J Philol;0002-9475;1086-3168;;;;;;;;
American Jewish history;Am Jew Hist;0164-0178;1086-3141;;;;;;;;
American quarterly;Am Q;0003-0678;1080-6490;;;;;;;;
American speech;Am Speech;0003-1283;;;;;;;;;
The American political science review;Am Polit Sci Rev;0003-0554;;;;;;;;;
Annales de Normandie;Ann Normandie;0003-4134;;;;;;;;;
Annales du Midi;Ann Midi;0003-4398;;;;;;;;;
Annals of Iowa;Ann Iowa;0003-4827;;;;;;;;;
Annales historiques du Mantois;Ann Hist Mantois;0398-5458;;;;;;;;;
Aziia i Afrika segodnia;Aziia Afr Segodnia;0005-2574;;;;;;;;;
Blatter fur Heimatkunde;BL Heimatkd;0006-4459;;;;;;;;;
Boletin de la Biblioteca de Menendez Pelayo;Bol Bibl Menendez Pelayo;0006-1646;;;;;;;;;
Boletin del Centro de Estudios del Siglo XVIII;Bol Cent Estud Siglo XVIII;0210-475X;;;;;;;;;
Bulletin of economic research;Bull Econ Res;0307-3378;;;;;;;;;
Bulletin of the Gloucester County Historical Society;Bull Gloucester Cty Hist Soc;0887-5413;;;;;;;;;
Bulletin of the Georgia Academy of Science;Bull Ga Acad Sci;0016-8114;;;;;;;;;
Bulletin des etudes Valeryennes;Bull Etud Valeryennes;0335-508X;;;;;;;;;
British history illustrated;Br Hist Illus;0195-2625;;;;;;;;;
The British studies monitor;Br Stud Monit;0007-1846;;;;;;;;;
Aztlan;Aztlan;0005-2604;;;;;;;;;
BC studies;B C Stud;0005-2949;;;;;;;;;
BDD;BDD;0793-3894;;;;;;;;;
Balcanica;Balcanica;0392-7660;;;;;;;;;
Baltimore magazine;Baltim Mag;0005-4453;;;;;;;;;
Baptist history and heritage;Baptist Hist Herit;0005-5719;;;;;;;;;
The Baptist quarterly;Baptist Q;0005-576X;;;;;;;;;
Bartonia;Bartonia;0198-7356;;;;;;;;;
Basler Zeitschrift fur Geschichte und Altertumskunde;Basl Z Gesch Altertumskd;0067-4540;;;;;;;;;
African urban quarterly;Afr Urban Q;0747-6108;;;;;;;;;
The Beaver;Beaver;0005-7517;;;;;;;;;
Beitrage zur deutschen Philologie;Beitr Dtsch Philol;0522-6341;;;;;;;;;
Agrartorteneti szemle;Agratort Szle;0002-1105;;;;;;;;;
The Agricultural history review;Agric Hist Rev;0002-1490;;;;;;;;;
Revue belge d;Rev Belge Hist Milit;0035-0877;;;;;;;;;
Revue belge d;Belg Tijdschr Nieuwste Geschied;0035-0869;;;;;;;;;
Aguiaine;Aguiaine;0222-9536;;;;;;;;;
Belizean studies;Belizean Stud;0250-6831;;;;;;;;;
Akademiska Dzive;Akad Dzive;0516-3145;;;;;;;;;
Belleten;Belleten;0041-4255;;;;;;;;;
Bengal;Bengal Past Present;0005-8807;;;;;;;;;
Alabama heritage;Ala Herit;0887-493X;;;;;;;;;
Berichte der Deutschen Botanischen Gesellschaft;Ber Dtsch Bot Ges;0011-9970;;;;;;;;;
Alaska journal;Alaska J;0002-4503;;;;;;;;;
Berytus;Berytus;0067-6195;;;;;;;;;
Bevolking en gezin;Bevolking Gezin;0772-764X;;;;;;;;;
Albion;Albion;0095-1390;;;;;;;;;
Alt;Alt Thuring;0065-6585;;;;;;;;;
Biblos;Biblos;0520-0768;;;;;;;;;
Das Altertum;Altertum;0002-6646;;;;;;;;;
Bijdragen en mededelingen betreffende de geschiedenis der Nederlanden;Bijdr Meded Geschied Ned;0165-0505;;;;;;;;;
Bild der Wissenschaft;Bild Wiss;0006-2375;;;;;;;;;
American antiquity;Am Antiq;0002-7316;;;;;;;;;
Biography;Biography;0162-4962;;;;;;;;;
The American art journal;Am Art J;0002-7359;;;;;;;;;
The American Benedictine review;Am Benedictine Rev;0002-7650;;;;;;;;;
Biuletyn Zydowskiego Instytutu Historycznego;Biul Zydowskiego Inst Hist Pol;0006-4033;;;;;;;;;
American heritage;Am Herit;0002-8738;;;;;;;;;
American history illustrated;Am Hist Illus;0002-8770;;;;;;;;;
Blatter fur deutsche und internationale Politik;Bl Dtsch Int Polit;0006-4416;;;;;;;;;
American Indian art magazine;Am Indian Art Mag;0192-9968;;;;;;;;;
American Indian quarterly;Am Indian Q;0095-182X;;;;;;;;;
Bleter far geshikhte;BL Gesz;0006-470X;;;;;;;;;
Blatter fur wurttembergische Kirchengeschichte;BL Wueritemb Kirchengesch;0341-9479;;;;;;;;;
The Black scholar;Black Scholar;0006-4246;;;;;;;;;
Blake studies;Blake Stud;0006-4548;;;;;;;;;
Bogens verden;Bogens Verden;0006-5692;;;;;;;;;
Annales de l;Ann Est;0365-2017;;;;;;;;;
Annales;Ann Fac Lett Sci Hum Nice;0549-1533;;;;;;;;;
Bohemia;Bohemia Jahrb Coll Carolinum;0523-8587;;;;;;;;;
Boletin de antropologia americana;Bol Antropol Am;0252-841X;;;;;;;;;
Boletin bibliografico de la Secretaria de Hacienda y Credito Publico;Bol Bibliogr Secr Hacienda Credito Publico;0185-366X;;;;;;;;;
The American journal of legal history;Am J Leg Hist;0002-9319;;;;;;;;;
Boletin de estudios latinoamericanos y del Caribe;Bol Estud Latinoam Caribe;0304-2634;;;;;;;;;
Boletin de historia y antiguedades;Bol Hist Antig;0006-6303;;;;;;;;;
Boletim do Instituto de Angola;Bol Inst Angola;0020-3726;;;;;;;;;
American Jewish archives;Am Jew Arch;0002-905X;;;;;;;;;
Boletin del Instituto de Historia Argentina y Americana;Bol Inst Hist Argent Am Dr Emilio Ravignani;0524-9767;;;;;;;;;
Boletin de la Institucion Sancho el Sabio;Bol Inst Sancho Sabio;0211-2396;;;;;;;;;
American Jewish historical quarterly;Am Jew Hist Q;0002-9068;;;;;;;;;
Boletin de la Universidad de Granada;Bol Univ Granada;0210-5454;;;;;;;;;
The American philatelist;Am Philat;0003-0473;;;;;;;;;
Bonner Geschichtsblatter;Bonn Geschichtsbl;0068-0052;;;;;;;;;
The Book collector;Book Collect;0006-7237;;;;;;;;;
Botanical Museum leaflets;Bot Mus Lealf Harv Univ;0006-8098;;;;;;;;;
The American review of Canadian studies;Am Rev Can Stud;0272-2011;;;;;;;;;
Botswana notes and records;Botsw Notes Rec;0525-5090;;;;;;;;;
Amerasia journal;Amerasia J;0044-7471;;;;;;;;;
Amerikastudien;Amerikastudien;0340-2827;;;;;;;;;
Amstelodamum;Amstelodamum;0165-9278;;;;;;;;;
Anales de antropologia;An Antropol;0185-1225;;;;;;;;;
Anali Gazi Husrev;An Gazi Husrev Begove Bibl;0350-1418;;;;;;;;;
Anales de historia contemporanea;An Hist Contemp;0212-6559;;;;;;;;;
Anales del Instituto de Estudios Madrilenos;An Inst Estud Madr;0584-6374;;;;;;;;;
Anales del Instituto Nacional de Antropologia e Historia;An Inst Nac Antropol Hist;0374-5317;;;;;;;;;
Anglican theological review;Anglican Theol Rev;0003-3286;;;;;;;;;
British heritage;Br Herit;0195-2633;;;;;;;;;
The British journal for eighteenth;Br J 18th Cent Stud;0141-867X;;;;;;;;;
British journal of international studies;Br J Int Stud;0305-8026;;;;;;;;;
British journal of law and society;Br J Law Soc;0306-3704;;;;;;;;;
The British journal of sports history;Br J Sports Hist;0264-9373;;;;;;;;;
The British Library journal;Br Libr J;0305-5167;;;;;;;;;
Britannica yearbook of science and the future;Br Yearb Sci;0068-1199;;;;;;;;;
British journal of political science;Br J Polit Sci;0007-1234;;;;;;;;;
The Alabama historical quarterly;Ala Hist Q;0002-4236;;;;;;;;;
Alma Mater Philippina;Alma Mater Philipp;0569-082X;;;;;;;;;
Boletin de la Academia Nacional de la Historia;Bol Acad Nac Hist;0254-7325;;;;;;;;;
Boletin de la Sociedad Castellonense de Cultura;Bol Soc Castell Cult;0210-1475;;;;;;;;;
Bulletin de la Bibliotheque nationale;Bull Bibl Nat;0338-4446;;;;;;;;;
Brigham Young University studies;Brigham Young Univ Stud;0007-0106;;;;;;;;;
Bronte Society transactions;Bronte Soc Trans;0309-7765;;;;;;;;;
Bulletin;Bull Am Acad Arts Sci;0002-712X;;;;;;;;;
Bulletin de l;Bull Assoc Guillaume Bude;0184-6957;;;;;;;;;
Bulletin of the British Museum;Bull Br Mus;0068-2306;;;;;;;;;
Bulletin du Centre d;Bull Cent Hist Econ Soc Reg Lyon;0249-5902;;;;;;;;;
Wen shi zhe xue bao;Bull Coll Lib Arts;0508-3052;;;;;;;;;
Bulletin;Bull Cosm Club;0742-8995;;;;;;;;;
Bulletin de la societe archeologique;Bull Soc Archeol Hist Artist Vieux Pap;1145-7325;;;;;;;;;
Bulletin de la Societe d;Bull Soc Hist Mod;0991-1367;;;;;;;;;
Bulletin de la Societe historique et archeologique du Perigord;Bull Soc Hist Archeol Perigord;0037-9425;;;;;;;;;
Bulletin de la Societe industrielle de Mulhouse;Bull Soc Ind Mulhouse;0037-9441;;;;;;;;;
Bulletin de la Societe nationale des antiquaires de France;Bull Soc Nat Antiq Fr;0081-1181;;;;;;;;;
Annales de Bretagne et des pays de l;Ann Bretagne Payes Ouest;0399-0826;;;;;;;;;
The Annals of the Chinese Historical Society of the Pacific Northwest;Ann Chin Hist Soc Pac Northwest;0740-8536;;;;;;;;;
Burgense;Burgense;0521-8195;;;;;;;;;
The Burlington magazine;Burlingt Mag;0007-6287;;;;;;;;;
Business history;Bus Hist;0007-6791;;;;;;;;;
By og bygd;By Bygd;0084-8212;;;;;;;;;
Byzantinische Zeitschrift;Byzantinische Z;0007-7704;;;;;;;;;
Byzantinoslavica;Byzantinoslavica;0007-7712;;;;;;;;;
Cabo;Cabo;0379-4830;;;;;;;;;
Acta agronomica;Acta Agron;0120-2812;2323-0118;;;;;;;;
Cahiers alsaciens d;Cah Alsac Archeol Art Hist;0575-0385;;;;;;;;;
Cahiers des Ameriques latines;Cah Am Lat;1141-7161;;;;;;;;;
Acta historiae rerum naturalium necnon technicarum;Acta Hist Rerum Nat Tech;0231-6005;;;;;;;;;
Bulletin du Musee hongrois des beaux;Bull Mus Hong B Arts;0133-5545;;;;;;;;;
Bulletin;Bull Mus Rov Beaux Arts Belg;0027-3856;;;;;;;;;
L;Actual Chim;0151-9093;;;;;;;;;
African notes;Afr Notes;0002-0087;;;;;;;;;
Bulletin of the School of Oriental and African Studies;Bull Sch Orient Afr Stud;0041-977X;;;;;;;;;
Bulletin des Leo Baeck Instituts;Bull Leo Baeck Inst;0024-0915;;;;;;;;;
Alberta history;Alberta Hist;0316-1552;;;;;;;;;
Albertus Magnus Blatter;Albertus Magnus Blaett;0401-2739;;;;;;;;;
Bulletin of peace proposals;Bull Peace Propos;0007-5035;;;;;;;;;
Annales;Ann Econ Soc Civilis;0395-2649;;;;;;;;;
Bulletin de philosophie medievale;Bull Philos Mediev;0068-4023;;;;;;;;;
Der Altsprachliche Unterricht;Altsprachi Unterr;0002-6670;;;;;;;;;
Bulletin d;Bull Hist Electr;0758-7171;;;;;;;;;
Bulletin de l;Bull Inst Egypte;0366-4228;;;;;;;;;
Bulletin of the Institute of Historical Research;Bull Inst Hist Res;0041-9761;;;;;;;;;
Zhong yang yan jiu yuan jin dai shi yan jiu suo ji kan;Bull Inst Mod Hist Acad Sin;1029-4740;;;;;;;;;
Bulletin;Bull J N Y State Archeol Assoc;1046-2368;;;;;;;;;
Historical New Hampshire;Hist N H;0018-2508;;;;;;;;;
Historical methods;Hist Methods;0161-5440;;;;;;;;;
Bulletin de la Section d;Bull Sect Hist Mod Contemp;0399-9734;;;;;;;;;
Bulletin de la Societe d;Bull Soc Agric Sci Arts Sarthe;0373-952X;;;;;;;;;
Archivum franciscanum historicum;Arch Franciscanum Hist;0004-0665;;;;;;;;;
Archiv fur Papyrusforschung und verwandte Gebiete;Arch Papyrusforsch;0066-6459;;;;;;;;;
Archivio storico lombardo;Arch Stor Lomb;0392-0232;;;;;;;;;
Archaeologia aeliana;Archaeol Aeliana;0261-3417;;;;;;;;;
Arethusa;Arethusa;0004-0975;1080-6504;;;;;;;;
The Army quarterly and defence journal;Army Q Def J;0004-2552;;;;;;;;;
Ateneo Veneto;Ateneo Veneto;0004-6558;;;;;;;;;
Cahiers des annales de Normandie;Cah Ann Normandie;0570-1600;;;;;;;;;
Cahiers d;Cah Archeol Hist Berry;0007-9693;;;;;;;;;
Cahiers de civilisation alpine;Cah Civilis Alp;0761-9111;;;;;;;;;
Cahiers de Clio;Cah Clio;0575-0598;;;;;;;;;
Cahiers d;Cah Etud Afr;0008-0055;;;;;;;;;
Cahiers des etudes anciennes;Cah Etud Anc;0317-5065;;;;;;;;;
Les Cahiers de Fontenay;Cah Fontenay;0395-8418;;;;;;;;;
Cahiers geologiques;Cah Geol;0008-0241;;;;;;;;;
Les Cahiers haut;Cah Haut Marnais;0008-025X;;;;;;;;;
Analele Universitatii Bucuresti;An Univ Bucur Istor;1220-0255;;;;;;;;;
Cahiers d;Cah Hist Mond;0022-5436;;;;;;;;;
Cahiers d;Cah Hist Second Guerr Mond;0771-6435;;;;;;;;;
Analecta sacra Tarraconensia;Analecta Sacra Tarracon;0304-4300;;;;;;;;;
Cahiers internationaux d;Cah Int Hist Econ Soc;1010-3643;;;;;;;;;
Cahiers Leopold Delisle;Cah Leopold Delisle;0399-1415;;;;;;;;;
Anglia;Anglia;0340-5222;;;;;;;;;
Anglo;Anglo Sax Engl;0263-6751;;;;;;;;;
Cahiers du monde russe et sovietique;Cah Monde Russe Sov;0008-0160;;;;;;;;;
Les Cahiers de la recherche architecturale;Cah Rech Archit;0150-9535;;;;;;;;;
Bulletin of Latin American research;Bull Lat Am Res;0261-3050;;;;;;;;;
Cahiers des religions africaines;Cah Relig Afr;0008-0047;;;;;;;;;
Les cahiers de Tunisie;Cah Tunis;0008-0012;;;;;;;;;
American journal of political science;Am J Pol Sci;0092-5853;;;;;;;;;
Actes de la recherche en sciences sociales;Actes Rech Sci Soc;0335-5322;;;;;;;;;
Cahiers victoriens;Cah Victor Edouardiens;0220-5610;;;;;;;;;
Cahiers Vilfredo Pareto;Cah Vilfredo Pareto;0048-8046;;;;;;;;;
American literature;Am Lit;0002-9831;;;;;;;;;
The Californians;Californians;0745-5895;;;;;;;;;
Canadian;Can Am Slav Stud;0090-8290;;;;;;;;;
American studies;Am Stud;0026-3079;;;;;;;;;
Canadian dimension;Can Dimens;0008-3402;;;;;;;;;
Canadian ethnic studies;Can Ethn Stud;0008-3496;;;;;;;;;
Canadian geographic;Can Geogr;0706-2168;;;;;;;;;
The Canadian historical review;Can Hist Rev;0008-3755;;;;;;;;;
Canadian journal of African studies;Can J Afr Stud;0008-3968;;;;;;;;;
Canadian journal of history of sport and physical education;Can J Hist Sport Phys Educ;0008-4115;;;;;;;;;
Canadian journal of Italian studies;Can J Ital Stud;0705-3002;;;;;;;;;
Canadian journal of Latin American and Caribbean studies;Can J Lat Am Caribb Stud;0826-3663;;;;;;;;;
The Canadian journal of native studies;Can J Native Stud;0715-3244;;;;;;;;;
Canadian labour;Can Labour;0008-4336;;;;;;;;;
Historical papers;Hist Pap Can Hist Assoc;0068-8878;;;;;;;;;
Historical news;Hist News;0439-2345;;;;;;;;;
Historia mexicana;Hist Mex;0185-0172;;;;;;;;;
Histoire magazine;Hist Mag;0223-4173;;;;;;;;;
Historiska och litteraturhistoriska studier;Hist Litteraturhist Stud;0073-2702;;;;;;;;;
California historical quarterly;Calif Hist Q;0097-6059;;;;;;;;;
Cahiers d;Cah Hist;0008-008X;;;;;;;;;
The Economic and social review;Econ Soc Rev;0012-9984;;;;;;;;;
Economia e storia;Econ Stor;0012-9798;;;;;;;;;
Eire;Eire Irel;0013-2683;;;;;;;;;
African affairs;Afr Aff;0001-9909;;;;;;;;;
Acta Universitatis Lundensis;Acta Univ Lund;0459-9969;;;;;;;;;
Canadian review of American studies;Can Rev Am Stud;0007-7720;;;;;;;;;
Cantium;Cantium;0590-7977;;;;;;;;;
Caribbean review;Caribb Rev;0008-6525;;;;;;;;;
Caribbean studies;Caribb Stud;0008-6533;;;;;;;;;
Carinthia I;Carinthia I;0008-6606;;;;;;;;;
The Carmarthensire hisorian;Carmarthensh Hist;0576-7849;;;;;;;;;
Casopis Matice moravske;Cas Matice Moravske;0323-052X;;;;;;;;;
Casopis za zgodovino in narodopisje;Cas Zgodovino Narodop;0590-5966;;;;;;;;;
The Cato journal;Cato J;0273-3072;;;;;;;;;
Central European history;Cent Eur Hist;0008-9389;;;;;;;;;
The Centennial review;Centen Rev;0162-0177;;;;;;;;;
Centerpoint;Centerpoint;0098-924X;;;;;;;;;
Ceskoslovensky casopis historicky;Cesk Cas Hist;0045-6187;;;;;;;;;
The Chaucer review;Chaucer Rev;0009-2002;;;;;;;;;
Deutsche Zeitschrift fur Philosophie;Dtsch Z Philos;0012-1045;;;;;;;;;
Dublin historical record;Dublin Hist Rec;0012-6861;;;;;;;;;
The Chesterton review;Chesterton Rev;0317-0500;;;;;;;;;
Chicago history;Chic Hist;0272-8540;;;;;;;;;
Dubrovnik;Dubrovnik;0419-7933;;;;;;;;;
Chinese culture;Chin Cult;0009-4544;;;;;;;;;
The China quarterly;China Q;0305-7410;;;;;;;;;
The Durham University journal;Durham Univ J;0012-7280;;;;;;;;;
Early American literature;Early Am Lit;0012-8163;;;;;;;;;
Earth sciences history;Earth Sci Hist;0736-623X;;;;;;;;;
East central Europe;East Cent Eur;0094-3037;;;;;;;;;
East European quarterly;East Eur Q;0012-8449;;;;;;;;;
China report;China Rep;0009-4455;;;;;;;;;
Christiana Albertina;Christiana Albertina Kiel Univ Z;0578-0160;;;;;;;;;
Eastern horizon;East Horiz;0012-8813;;;;;;;;;
The East Tennessee Historical Society;East Tenn Soc Publ;0361-6193;;;;;;;;;
Echoes;Echoes;0012-933X;;;;;;;;;
Chronicles of Oklahoma;Chron Okla;0009-6024;;;;;;;;;
Ciel et terre;Ciel Terre;0009-6709;;;;;;;;;
The Cincinnati Historical Society bulletin;Cinci Hist Soc Bull;0194-2883;;;;;;;;;
Civil War history;Civ War Hist;0009-8078;;;;;;;;;
The Economic history review;Econ Hist Rev;0013-0117;1468-0289;;;;;;;;
Civil War times illustrated;Civ War Times Illus;0009-8094;;;;;;;;;
Economisch;Econ Soc Hist Jaarb;0167-7942;;;;;;;;;
Classical antiquity;Class Antiq;0278-6656;;;;;;;;;
Education and urban society;Educ Urban Soc;0013-1245;;;;;;;;;
The Classical outlook;Class Outlook;0009-8361;;;;;;;;;
Eighteenth century;Eighteenth Century;0193-5380;;;;;;;;;
Classical philology;Class Philol;0009-837X;;;;;;;;;
Classical world;Class World;0009-8418;;;;;;;;;
Clio;Clio;0884-2043;;;;;;;;;
Eighteenth;Eighteenth Century Stud;0013-2586;1086-315X;;;;;;;;
Coin world;Coin World;0010-0447;;;;;;;;;
The Colby Library quarterly;Colby Libr Q;0010-0552;;;;;;;;;
Collections of the Nova Scotia Historical Society;Collect N S Hist Soc;0383-8420;;;;;;;;;
Ekonomski pregled;Ekon Pregl;0424-7558;;;;;;;;;
Colorado heritage;Colo Herit;0272-9377;;;;;;;;;
The Colorado magazine;Colo Mag;0010-1648;;;;;;;;;
Colorado quarterly;Colo Q;0010-1710;;;;;;;;;
Emerita;Emerita;0013-6662;;;;;;;;;
The Emporia State research studies;Emporia State Res Stud;0424-9399;;;;;;;;;
The English historical review;Engl Hist Rev;0013-8266;;;;;;;;;
English language notes;Engl Lang Notes;0013-8282;;;;;;;;;
L;Afr Litt Artist;0002-0508;;;;;;;;;
Abhandlungen und Berichte des Staatlichen Museums fur Volkerkunde;Abh Ber Staatl Mus Voelkerkd Dres;0070-7295;;;;;;;;;
Chemical heritage;Chem Herit;1066-5315;;;;;;;;;
Canadian Slavonic papers;Can Slavon Pap;0008-5006;;;;;;;;;
The Chesopiean;Chesopiean;0009-3300;;;;;;;;;
Church history;Church Hist;0009-6407;;;;;;;;;
The classical journal;Class J;0009-8353;;;;;;;;;
Epigraphische Studien;Epigraph Stud;0071-0989;;;;;;;;;
Comparative politics;Comp Polit;0010-4159;;;;;;;;;
Concordia Historical Institute quarterly;Concordia Hist Inst Q;0010-5260;;;;;;;;;
Conditio Judaica;Conditio Jud;0941-5866;;;;;;;;;
Condorcet studies;Condorcet Stud;1041-3626;;;;;;;;;
The Connecticut Historical Society bulletin;Conn Hist Soc Bull;0885-4831;;;;;;;;;
Contemporary French civilization;Contemp Fr Civiliz;0147-9156;;;;;;;;;
Contemporary review;Contemp Rev;0010-7565;;;;;;;;;
Continuity and change;Contin Chang;0268-4160;;;;;;;;;
Continuity;Continuity;0277-1446;;;;;;;;;
Epeirotike hestia;Epeirotike Hestia;0425-1431;;;;;;;;;
Le Contrat social;Contrat Soc;0589-5782;;;;;;;;;
Contree;Contree;0379-9867;;;;;;;;;
Epigraphica;Epigraphica;0013-9572;;;;;;;;;
Criminal justice history;Crim Justice Hist;0194-0953;;;;;;;;;
Crime and social justice;Crime Soc Justice;0094-7571;;;;;;;;;
