title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope
International Journal Of Chemical Kinetics;;0538-8066;1097-4601;;;MON;;;Wiley;
International Journal Of Chemical Reactor Engineering;;2194-5748;;;;ANN;;;;
International Journal Of Childrens Spirituality;;1364-436X;1469-8455;;;QUA;;;;
International Journal Of Chronic Obstructive Pulmonary Disease;Int J Chron Obstruct Pulmon Dis;1178-2005;1178-2005;;;IRR;;;;
International Journal Of Circuit Theory And Applications;;0098-9886;1097-007X;;;MON;;;Wiley;
International Journal Of Circumpolar Health;Int J Circumpolar Health;1239-9736;2242-3982;;;BIM;;;;
International Journal Of Civil Engineering;;1735-0522;;;;QUA;;;;
International Journal Of Climate Change Strategies And Management;;1756-8692;;;;QUA;;;;
International Journal Of Climatology;;0899-8418;1097-0088;;;MON;;;Wiley;
International Journal Of Clinical And Experimental Hypnosis;Int J Clin Exp Hypn;0020-7144;1744-5183;;;QUA;;;;
International Journal Of Clinical And Experimental Medicine;Int J Clin Exp Med;1940-5901;;;;MON;;;;
International Journal Of Clinical And Experimental Pathology;Int J Clin Exp Pathol;1936-2625;;;;BIM;;;;
International Journal Of Clinical And Health Psychology;Int J Clin Health Psychol;1697-2600;;;;TRI;;;;
International Journal Of Clinical Oncology;Int J Clin Oncol;1341-9625;1437-7772;;;BIM;;;Springer;
International Journal Of Clinical Pharmacology And Therapeutics;Int J Clin Pharmacol Ther;0946-1965;;;;MON;;;;
International Journal Of Clinical Pharmacy;Int J Clin Pharm;2210-7703;2210-7711;;;BIM;;;Springer;
International Journal Of Clinical Practice;Int J Clin Pract;1368-5031;1742-1241;;;MON;;;Wiley;
International Journal Of Clothing Science And Technology;;0955-6222;1758-5953;;;BIM;;;;
International Journal Of Coal Geology;;0166-5162;;;;MON;;;Elsevier;
International Journal Of Coal Preparation And Utilization;;1939-2699;1939-2702;;;BIM;;;;
International Journal Of Cognitive Therapy;Int J Cogn Ther;1937-1209;1937-1217;;;QUA;;;;
International Journal Of Colorectal Disease;Int J Colorectal Dis;0179-1958;1432-1262;;;BIM;;;Springer;
International Journal Of Communication;;1932-8036;;;;IRR;;;;
International Journal Of Communication Systems;;1074-5351;1099-1131;;;MON;;;Wiley;
International Journal Of Comparative Sociology;Int J Comp Sociol;0020-7152;;;;BIM;;;;
International Journal Of Computational Biology And Drug Design;Int J Comput Biol Drug Des;1756-0756;1756-0764;;;QUA;;;;
International Journal Of Computational Fluid Dynamics;Int J Comut Fluid Dyn;1061-8562;1029-0257;;;MON;;;;
International Journal Of Computational Intelligence And Applications;Int J Comput Intell Appl;1469-0268;1757-5885;;;QUA;;;;
International Journal Of Computational Intelligence Systems;;1875-6891;1875-6883;;;BIM;;;;
International Journal Of Computational Methods;;0219-8762;1793-6969;;;QUA;;;;
International Journal Of Computer Assisted Radiology And Surgery;Int J Comput Assist Radiol Surg;1861-6410;1861-6429;;;BIM;;;Springer;
International Journal Of Computer Integrated Manufacturing;;0951-192X;1362-3052;;;MON;;;;
International Journal Of Computer Mathematics;Int J Comput Math;0020-7160;1029-0265;;;MON;;;;
International Journal Of Computer Networks And Communications;;0975-2293;;;;BIM;;;;
International Journal Of Computer Science And Information Security;;1947-5500;;;;MON;;;;
International Journal Of Computer Science And Network Security;;1738-7906;;;;MON;;;;
International Journal Of Computer Vision;Int J Comput Vis;0920-5691;;;;MON;;;Springer;
International Journal Of Computer-Supported Collaborative Learning;;1556-1607;1556-1615;;;QUA;;;Springer;
International Journal Of Computers Communications & Control; Communications And Control;1841-9836;1841-9844;;;BIM;;;;
International Journal Of Concrete Structures And Materials;;1976-0485;;;;QUA;;;;
International Journal Of Conflict And Violence;Int J Conf Violence;1864-1385;;;;SEM;;;;
International Journal Of Conflict Management;;1044-4068;;;;QUA;;;;
International Journal Of Consumer Studies;Int J Consum Stud;1470-6423;1470-6431;;;BIM;;;Wiley;
International Journal Of Contemporary Hospitality Management;;0959-6119;;;;BIM;;;;
International Journal Of Control;Int J Control;0020-7179;;;;MON;;;;
International Journal Of Control Automation And Systems; Automation And Systems;1598-6446;2005-4092;;;BIM;;;;
International Journal Of Cooperative Information Systems;;0218-8430;;;;QUA;;;;
International Journal Of Corpus Linguistics;;1384-6655;1569-9811;;;QUA;;;;
International Journal Of Cosmetic Science;Int J Cosmet Sci;0142-5463;1468-2494;;;BIM;;;Wiley;
International Journal Of Crashworthiness;;1358-8265;;;;BIM;;;;
International Journal Of Critical Infrastructure Protection;;1874-5482;;;;QUA;;;Elsevier;
International Journal Of Cultural Policy;;1028-6632;1477-2833;;;BIM;;;;
International Journal Of Cultural Studies;;1367-8779;1460-356X;;;BIM;;;;
International Journal Of Dairy Technology;Int J Dairy Technol;1364-727X;;;;QUA;;;Wiley;
International Journal Of Damage Mechanics;;1056-7895;1530-7921;;;BIM;;;;
International Journal Of Data Mining And Bioinformatics;Int J Data Min Bioinform;1748-5673;1748-5681;;;BIM;;;;
International Journal Of Data Mining Modelling And Management; Modelling And Management;1759-1163;1759-1171;;;QUA;;;;
International Journal Of Data Warehousing And Mining;;1548-3924;1548-3932;;;QUA;;;;
International Journal Of Dental Hygiene;;1601-5029;1601-5037;;;QUA;;;Wiley;
International Journal Of Dermatology;Int J Dermatol;0011-9059;1365-4632;;;MON;;;Wiley;
International Journal Of Design;;1991-3761;1994-036X;;;TRI;;;;
International Journal Of Developmental Biology;;0214-6282;;;;MON;;;;
International Journal Of Developmental Disabilities;Int J Dev Disabil;2047-3869;2047-3877;;;QUA;;;;
International Journal Of Developmental Neuroscience;Int J Dev Neurosci;0736-5748;1873-474X;;;BIM;;;Elsevier;
International Journal Of Diabetes In Developing Countries;Int J Diabetes Dev Ctries;0973-3930;1998-3832;;;QUA;;;Springer;
International Journal Of Digital Earth;;1753-8947;1753-8955;;;BIM;;;;
International Journal Of Digital Multimedia Broadcasting;;1687-7578;1687-7586;;;IRR;;;;
International Journal Of Disability Development And Education; Development And Education;1034-912X;1465-346X;;;QUA;;;;
International Journal Of Distributed Sensor Networks;;1550-1329;1550-1477;;;QUA;;;;
International Journal Of Drug Policy;Int J Drug Policy;0955-3959;1873-4758;;;BIM;;;Elsevier;
International Journal Of Earth Sciences;;1437-3254;1437-3262;;;BIM;;;Springer;
International Journal Of Eating Disorders;Int J Eat Disord;0276-3478;1098-108X;;;BIM;;;Wiley;
International Journal Of Ecology;;1687-9708;1687-9716;;;IRR;;;;
International Journal Of Economic Theory;;1742-7355;1742-7363;;;QUA;;;Wiley;
International Journal Of Educational Development;Int J Educ Dev;0738-0593;;;;BIM;;;Elsevier;
International Journal Of Educational Research;Int J Educ Res;0883-0355;1873-538X;;;BIM;;;Elsevier;
International Journal Of Electrical Engineering Education;;0020-7209;2050-4578;;;QUA;;;;
International Journal Of Electrical Power & Energy Systems;;0142-0615;;;;MON;;;Elsevier;
International Journal Of Electrochemical Science;;1452-3981;;;;MON;;;;
International Journal Of Electronic Commerce;;1086-4415;;;;QUA;;;;
International Journal Of Electronics;;0020-7217;1362-3060;;;MON;;;;
International Journal Of Emerging Technologies In Learning;;1868-8799;1863-0383;;;QUA;;;;
International Journal Of Endocrinology;Int J Endocrinol;1687-8337;;;;IRR;;;;
International Journal Of Energy And Environmental Engineering;;2008-9163;2251-6832;;;IRR;;;Springer;
International Journal Of Energy Research;;0363-907X;1099-114X;;;MON;;;Wiley;
International Journal Of Engine Research;;1468-0874;2041-3149;;;BIM;;;;
International Journal Of Engineering Business Management;;1847-9790;;;;SEM;;;;
International Journal Of Engineering Education;;0949-149X;;;;BIM;;;;
International Journal Of Engineering Science;Int J Eng Sci;0020-7225;1879-2197;;;;;;Elsevier;
International Journal Of Environment And Health;;1743-4955;1743-4963;;;QUA;;;;
International Journal Of Environment And Pollution;;0957-4352;1741-5101;;;BIM;;;;
International Journal Of Environmental Analytical Chemistry;Int J Environ Anal Chem;0306-7319;1029-0397;;;MON;;;;
International Journal Of Environmental Health Research;Int J Environ Health Res;0960-3123;1369-1619;;;BIM;;;;
International Journal Of Environmental Research;Int J Environ Res;1735-6865;2008-2304;;;QUA;;;;
International Journal Of Environmental Research And Public Health;Int J Environ Res Public Health;1660-4601;;;;MON;;;;
International Journal Of Environmental Science And Technology;Int J Environ Sci Technol (Tehran);1735-1472;;;;MON;;;Springer;
International Journal Of Environmental Studies;Int J Environ Stud;0020-7233;;;;BIM;;;;
International Journal Of Epidemiology;Int J Epidemiol;0300-5771;1464-3685;;;BIM;;;;
International Journal Of Evolutionary Biology;Int J Evol Biol;2090-8032;;;;IRR;;;;
International Journal Of Exergy;;1742-8297;1742-8300;;;BIM;;;;
International Journal Of Experimental Pathology;Int J Exp Pathol;0959-9673;1365-2613;;;BIM;;;Wiley;
International Journal Of Fatigue;Int J Fatigue;0142-1123;;;;MON;;;Elsevier;
International Journal Of Feminist Approaches To Bioethics;Int J Fem Approaches Bioeth;1937-4585;1937-4577;;;SEM;;;;
International Journal Of Finance & Economics;;1076-9307;1099-1158;;;QUA;;;Wiley;
International Journal Of Food Engineering;;2194-5764;;;;QUA;;;;
International Journal Of Food Microbiology;Int J Food Microbiol;0168-1605;1879-3460;;;;;;Elsevier;
International Journal Of Food Properties;;1094-2912;1532-2386;;;MON;;;;
International Journal Of Food Science And Technology;Int J Food Sci Technol;0950-5423;1365-2621;;;MON;;;Wiley;
International Journal Of Food Sciences And Nutrition;Int J Food Sci Nutr;0963-7486;1465-3478;;;BIM;;;;
International Journal Of Forecasting;Int J Forecast;0169-2070;;;;QUA;;;Elsevier;
International Journal Of Forensic Mental Health;Int J Forensic Ment Health;1499-9013;1932-9903;;;QUA;;;;
International Journal Of Foundations Of Computer Science;;0129-0541;;;;BIM;;;;
International Journal Of Fracture;;0376-9429;1573-2673;;;;;;Springer;
International Journal Of Functional Informatics And Personalised Medicine;Int J Funct Inform Personal Med;1756-2104;1756-2112;;;QUA;;;;
International Journal Of Fuzzy Systems;;1562-2479;;;;QUA;;;Springer;
International Journal Of Galliformes Conservation;;2046-2190;;;;IRR;;;;
International Journal Of Game Theory;;0020-7276;1432-1270;;;QUA;;;Springer;
International Journal Of General Systems;;0308-1079;1563-5104;;;BIM;;;;
International Journal Of Genomics;Int J Genomics;2314-436X;;;;IRR;;;;
International Journal Of Geographical Information Science;Int J Geogr Inf Sci;1365-8816;;;;MON;;;;
International Journal Of Geography And Geology;;2305-7041;;;;MON;;;;
International Journal Of Geomechanics;;1532-3641;;;;BIM;;;;
International Journal Of Geometric Methods In Modern Physics;;0219-8878;;;;BIM;;;;
International Journal Of Geriatric Psychiatry;Int J Geriatr Psychiatry;0885-6230;1099-1166;;;MON;;;Wiley;
International Journal Of Gerontology;Int J Gerontol;1873-9598;1873-958X;;;QUA;;;Elsevier;
International Journal Of Global Warming;;1758-2083;1758-2091;;;QUA;;;;
International Journal Of Green Energy;;1543-5075;1543-5083;;;MON;;;;
International Journal Of Greenhouse Gas Control;;1750-5836;;;;BIM;;;Elsevier;
International Journal Of Group Psychotherapy;Int J Group Psychother;0020-7284;1943-2836;;;QUA;;;;
International Journal Of Gynecological Cancer;Int J Gynecol Cancer;1048-891X;1525-1438;;;MON;;;;
International Journal Of Gynecological Pathology;Int J Gynecol Pathol;0277-1691;1538-7151;;;BIM;;;;
International Journal Of Gynecology & Obstetrics;Int J Gynaecol Obstet;0020-7292;1879-3479;;;MON;;;Elsevier;
International Journal Of Health Care Finance & Economics;Int J Health Care Finance Econ;1389-6563;1573-6962;;;QUA;;;Springer;
International Journal Of Health Geographics;Int J Health Geogr;1476-072X;;;;IRR;;;;
International Journal Of Health Planning And Management;Int J Health Plann Manage;0749-6753;1099-1751;;;QUA;;;Wiley;
International Journal Of Health Services;Int J Health Serv;0020-7314;;;;QUA;;;;
International Journal Of Healthcare Technology And Management;;1368-2156;1741-5144;;;QUA;;;;
International Journal Of Heat And Fluid Flow;;0142-727X;;;;BIM;;;Elsevier;
International Journal Of Heat And Mass Transfer;Int J Heat Mass Transf;0017-9310;;;;MON;;;Elsevier;
International Journal Of Heavy Vehicle Systems;;1744-232X;1741-5152;;;QUA;;;;
International Journal Of Hematology;Int J Hematol;0925-5710;1865-3774;;;MON;;;Springer;
International Journal Of Heritage Studies;;1352-7258;1470-3610;;;BIM;;;;
International Journal Of High Performance Computing Applications;Int J High Perform Comput Appl;1094-3420;1741-2846;;;QUA;;;;
International Journal Of Hindu Studies;;1022-4556;1574-9282;;;SEM;;;Springer;
International Journal Of Historical Archaeology;Int J Hist Archaeol;1092-7697;1573-7748;;;QUA;;;Springer;
International Journal Of Hospitality Management;Int J Hosp Manag;0278-4319;1873-4693;;;QUA;;;Elsevier;
International Journal Of Human Genetics;Int J Hum Genet;0972-3757;;;;IRR;;;;
International Journal Of Human Resource Management;;0958-5192;1466-4399;;;;;;;
International Journal Of Human-Computer Interaction;;1044-7318;1532-7590;;;MON;;;;
International Journal Of Human-Computer Studies;Int J Hum Comput Stud;1071-5819;;;;MON;;;Elsevier;
International Journal Of Humanoid Robotics;Int J Hr;0219-8436;;;;QUA;;;;
International Journal Of Hydrogen Energy;Int J Hydrogen Energy;0360-3199;;;;;;;Elsevier;
International Journal Of Hygiene And Environmental Health;Int J Hyg Environ Health;1438-4639;1618-131X;;;BIM;;;Elsevier;
International Journal Of Hyperthermia;Int J Hyperthermia;0265-6736;1464-5157;;;BIM;;;;
International Journal Of Image And Graphics;Int J Image Graph;0219-4678;;;;QUA;;;;
International Journal Of Imaging Systems And Technology;Int J Imaging Syst Technol;0899-9457;;;;QUA;;;Wiley;
International Journal Of Immunogenetics;Int J Immunogenet;1744-3121;1744-313X;;;BIM;;;Wiley;
International Journal Of Immunopathology And Pharmacology;Int J Immunopathol Pharmacol;0394-6320;;;;QUA;;;;
International Journal Of Impact Engineering;Int J Impact Eng;0734-743X;;;;MON;;;Elsevier;
International Journal Of Impotence Research;Int J Impot Res;0955-9930;1476-5489;;;BIM;;;Nature Publishing Group;
International Journal Of Inclusive Education;;1360-3116;1464-5173;;;MON;;;;
International Journal Of Industrial Engineering-Theory Applications And Practice;;1943-670X;;;;QUA;;;;
International Journal Of Industrial Entomology;Int. J. Indust. Entomol.;1598-3579;;;;QUA;;;;
International Journal Of Industrial Ergonomics;Int J Ind Ergon;0169-8141;;;;BIM;;;Elsevier;
International Journal Of Industrial Organization;;0167-7187;;;;BIM;;;Elsevier;
International Journal Of Infectious Diseases;Int J Infect Dis;1201-9712;1878-3511;;;MON;;;Elsevier;
International Journal Of Information Management;Int J Inf Manage;0268-4012;0143-6236;;;BIM;;;Elsevier;
International Journal Of Information Security;;1615-5262;1615-5270;;;BIM;;;Springer;
International Journal Of Information Technology & Decision Making;Int J Inf Technol Decis Mak;0219-6220;;;;BIM;;;;
International Journal Of Injury Control And Safety Promotion;Int J Inj Contr Saf Promot;1745-7300;1745-7319;;;QUA;;;;
International Journal Of Insect Science;;1179-5433;;;;IRR;;;;
International Journal Of Intangible Heritage;;1975-3586;1975-4019;;;ANN;;;;
International Journal Of Integrated Care;Int J Integr Care;1568-4156;;;;QUA;;;;
International Journal Of Integrative Biology;Int J Integr Biol;0974-2816;;;;TRI;;;;
International Journal Of Intelligent Control And Systems;;0218-7965;;;;QUA;;;;
International Journal Of Intelligent Systems;;0884-8173;1098-111X;;;MON;;;Wiley;
International Journal Of Intercultural Relations;Int J Intercult Relat;0147-1767;;;;BIM;;;Elsevier;
International Journal Of Internet Protocol Technology;;1743-8209;1743-8217;;;QUA;;;;
International Journal Of Knowledge And Learning;;1741-1009;1741-1017;;;QUA;;;;
International Journal Of Laboratory Hematology;Int J Lab Hematol;1751-5521;1751-553X;;;BIM;;;Wiley;
International Journal Of Lakes And Rivers;;0973-4570;;;;SEM;;;;
International Journal Of Language & Communication Disorders;Int J Lang Commun Disord;1368-2822;1460-6984;;;BIM;;;Wiley;
International Journal Of Law And Psychiatry;Int J Law Psychiatry;0160-2527;1873-6386;;;QUA;;;Elsevier;
International Journal Of Law Crime And Justice; Crime And Justice;1756-0616;;;;QUA;;;Elsevier;
International Journal Of Law Policy And The Family; Policy;1360-9939;;;;TRI;;;;
International Journal Of Learning Technology;;1477-8386;;;;QUA;;;;
International Journal Of Legal Medicine;Int J Legal Med;0937-9827;1437-1596;;;BIM;;;Springer;
International Journal Of Lexicography;;0950-3846;1477-4577;;;QUA;;;;
International Journal Of Life Cycle Assessment;;0948-3349;1614-7502;;;MON;;;Springer;
International Journal Of Life Sciences;;2091-0525;;;;ANN;;;;
International Journal Of Logistics Management;;0957-4093;1758-6550;;;TRI;;;;
International Journal Of Logistics-Research And Applications;;1367-5567;1469-848X;;;BIM;;;;
International Journal Of Low Radiation;Int J Low Radiat;1477-6545;1741-9190;;;BIM;;;;
International Journal Of Lower Extremity Wounds;Int J Low Extrem Wounds;1534-7346;1552-6941;;;QUA;;;;
International Journal Of Machine Learning And Cybernetics;;1868-8071;1868-808X;;;BIM;;;Springer;
International Journal Of Machine Tools & Manufacture;;0890-6955;;;;MON;;;Elsevier;
International Journal Of Management Reviews;;1460-8545;1468-2370;;;QUA;;;Wiley;
International Journal Of Manpower;Int J Manpow;0143-7720;1758-6577;;;BIM;;;;
International Journal Of Marine And Coastal Law;;0927-3522;1571-8085;;;QUA;;;;
International Journal Of Maritime Engineering;;1479-8751;1740-0716;;;QUA;;;;
International Journal Of Maritime History;Int J Marit Hist;0843-8714;;;;QUA;;;;
International Journal Of Market Research;;1470-7853;;;;BIM;;;;
International Journal Of Mass Spectrometry;Int J Mass Spectrom;1387-3806;;;;;;;Elsevier;
International Journal Of Material Forming;;1960-6206;1960-6214;;;QUA;;;Springer;
International Journal Of Materials & Product Technology;;0268-1900;;;;TRI;;;;
International Journal Of Materials Research;;1862-5282;;;;MON;;;;
International Journal Of Mathematical Education In Science And Technology;Int J Math Educ Sci Technol;0020-739X;1464-5211;;;BIM;;;;
International Journal Of Mathematics;;0129-167X;;;;MON;;;;
International Journal Of Mechanical Sciences;;0020-7403;;;;MON;;;Elsevier;
International Journal Of Mechanics And Materials In Design;;1569-1713;;;;QUA;;;Springer;
International Journal Of Medical Informatics;Int J Med Inform;1386-5056;1872-8243;;;MON;;;Elsevier;
International Journal Of Medical Microbiology;Int J Med Microbiol;1438-4221;1618-0607;;;BIM;;;Elsevier;
International Journal Of Medical Robotics And Computer Assisted Surgery;Int J Med Robot;1478-5951;1478-596X;;;QUA;;;Wiley;
International Journal Of Medical Sciences;Int J Med Sci;1449-1907;;;;MON;;;;
International Journal Of Medicinal Mushrooms;Int J Med Mushrooms;1521-9437;1940-4344;;;QUA;;;;
International Journal Of Mental Health And Addiction;Int J Ment Health Addict;1557-1874;1557-1882;;;QUA;;;Springer;
International Journal Of Mental Health Nursing;Int J Ment Health Nurs;1445-8330;1447-0349;;;BIM;;;Wiley;
International Journal Of Mental Health Promotion;Int J Ment Health Promot;1462-3730;2049-8543;;;BIM;;;;
International Journal Of Mental Health Systems;Int J Ment Health Syst;1752-4458;;;;IRR;;;;
International Journal Of Metalcasting;;1939-5981;;;;QUA;;;;
International Journal Of Methods In Psychiatric Research;Int J Methods Psychiatr Res;1049-8931;1557-0657;;;QUA;;;Wiley;
International Journal Of Micro Air Vehicles;;1756-8293;;;;QUA;;;;
International Journal Of Microwave And Wireless Technologies;;1759-0787;1759-0795;;;BIM;;;;
International Journal Of Middle East Studies;Int J Middle East Stud;0020-7438;;;;QUA;;;;
International Journal Of Mineral Processing;;0301-7516;;;;MON;;;Elsevier;
International Journal Of Minerals Metallurgy And Materials; Metallurgy And Materials;1674-4799;1869-103X;;;BIM;;;Springer;
International Journal Of Mining Reclamation And Environment; Reclamation And Environment;1748-0930;1748-0949;;;QUA;;;;
International Journal Of Mobile Communications;;1470-949X;1741-5217;;;BIM;;;;
International Journal Of Modern Physics A;Int J Mod Phys A;0217-751X;;;;;;;;
International Journal Of Modern Physics B;;0217-9792;1793-6578;;;;;;;
International Journal Of Modern Physics C;;0129-1831;;;;MON;;;;
International Journal Of Modern Physics D;;0218-2718;;;;MON;;;;
International Journal Of Modern Physics E-Nuclear Physics;;0218-3013;;;;MON;;;;
International Journal Of Molecular Medicine;Int J Mol Med;1107-3756;1791-244X;;;MON;;;;
International Journal Of Molecular Sciences;Int J Mol Sci;1422-0067;;;;MON;;;;
International Journal Of Morphology;Int J Morphol;0717-9502;0717-9502;;;QUA;;;;
International Journal Of Mosquito Research;;2348-5906;;;;QUA;;;;
International Journal Of Multiphase Flow;;0301-9322;;;;MON;;;Elsevier;
International Journal Of Music Education;;0255-7614;1744-795X;;;QUA;;;;
International Journal Of Myriapodology;Int J Myriap;1875-2535;1875-2543;;;SEM;;;;
International Journal Of Nanomedicine;Int J Nanomedicine;1178-2013;1178-2013;;;IRR;;;;
International Journal Of Nanotechnology;Int J Nanotechnol;1475-7435;1741-8151;;;QUA;;;;
International Journal Of Natural And Engineering Sciences;;1307-1149;;;;TRI;;;;
International Journal Of Natural Sciences;;2221-1012;;;;BIM;;;;
International Journal Of Nautical Archaeology;;1057-2414;1095-9270;;;SEM;;;Wiley;
International Journal Of Naval Architecture And Ocean Engineering;;2092-6782;2092-6790;;;BIM;;;;
International Journal Of Nematology;Int J Nematol;1368-8774;;;;SEM;;;;
International Journal Of Network Management;;1055-7148;1099-1190;;;BIM;;;Wiley;
International Journal Of Neural Systems;Int J Neural Syst;0129-0657;;;;BIM;;;;
International Journal Of Neuropsychopharmacology;Int J Neuropsychopharmacol;1461-1457;1469-5111;;;MON;;;;
International Journal Of Neuroscience;Int J Neurosci;0020-7454;1563-5279;;;MON;;;;
International Journal Of Next-Generation Computing;;2229-4678;;;;QUA;;;;
International Journal Of Non-Linear Mechanics;Int J Non Linear Mech;0020-7462;1878-5638;;;MON;;;Elsevier;
International Journal Of Nonlinear Sciences And Numerical Simulation;;1565-1339;;;;BIM;;;;
International Journal Of Number Theory;;1793-0421;;;;BIM;;;;
International Journal Of Numerical Analysis And Modeling;Int J Numer Anal Model;1705-5105;;;;QUA;;;;
International Journal Of Numerical Methods For Heat & Fluid Flow;;0961-5539;;;;BIM;;;;
International Journal Of Numerical Modelling-Electronic Networks Devices And Fields; Devices And Fields;0894-3370;1099-1204;;;BIM;;;Wiley;
International Journal Of Nursing Knowledge;Int J Nurs Knowl;2047-3087;;;;QUA;;;Wiley;
International Journal Of Nursing Practice;Int J Nurs Pract;1322-7114;1440-172X;;;BIM;;;Wiley;
International Journal Of Nursing Studies;Int J Nurs Stud;0020-7489;1873-491X;;;MON;;;Elsevier;
International Journal Of Obesity;Int J Obes (Lond);0307-0565;1476-5497;;;MON;;;Nature Publishing Group;
International Journal Of Obstetric Anesthesia;Int J Obstet Anesth;0959-289X;1532-3374;;;QUA;;;Elsevier;
International Journal Of Occupational And Environmental Health;Int J Occup Environ Health;1077-3525;2049-3967;;;QUA;;;;
International Journal Of Occupational Medicine And Environmental Health;Int J Occup Med Environ Health;1232-1087;1896-494X;;;QUA;;;;
International Journal Of Occupational Safety And Ergonomics;Int J Occup Saf Ergon;1080-3548;;;;QUA;;;;
International Journal Of Oceans And Oceanography;;0973-2667;;;;TRI;;;;
International Journal Of Odonatology;Int. J. Odonatol.;1388-7890;;;;QUA;;;;
International Journal Of Offender Therapy And Comparative Criminology;Int J Offender Ther Comp Criminol;0306-624X;1552-6933;;;MON;;;;
International Journal Of Offshore And Polar Engineering;;1053-5381;;;;QUA;;;;
International Journal Of Oil Gas And Coal Technology; Gas And Coal Technology;1753-3309;1753-3317;;;QUA;;;;
International Journal Of Oncology;Int J Oncol;1019-6439;1791-2423;;;MON;;;;
International Journal Of Online Engineering;;1868-1646;1861-2121;;;BIM;;;;
International Journal Of Operations & Production Management;;0144-3577;;;;MON;;;;
International Journal Of Ophthalmology;Int J Ophthalmol;2222-3959;2227-4898;;;BIM;;;;
International Journal Of Optomechatronics;;1559-9612;1559-9620;;;QUA;;;;
International Journal Of Oral & Maxillofacial Implants;Int J Oral Maxillofac Implants;0882-2786;1942-4434;;;BIM;;;;
International Journal Of Oral And Maxillofacial Surgery;Int J Oral Maxillofac Surg;0901-5027;1399-0020;;;MON;;;;
International Journal Of Oral Science;Int J Oral Sci;1674-2818;2049-3169;;;QUA;;;Nature Publishing Group;
International Journal Of Osteoarchaeology;;1047-482X;1099-1212;;;BIM;;;Wiley;
International Journal Of Osteopathic Medicine;Int J Osteopath Med;1746-0689;;;;QUA;;;Elsevier;
International Journal Of Paediatric Dentistry;Int J Paediatr Dent;0960-7439;1365-263X;;;BIM;;;Wiley;
International Journal Of Paleopathology;;1879-9817;;;;QUA;;;Elsevier;
International Journal Of Parallel Programming;Int J Parallel Program;0885-7458;1573-7640;;;BIM;;;Springer;
International Journal Of Pattern Recognition And Artificial Intelligence;;0218-0014;;;;BIM;;;;
International Journal Of Pavement Engineering;;1029-8436;1477-268X;;;MON;;;;
International Journal Of Pediatric Otorhinolaryngology;Int J Pediatr Otorhinolaryngol;0165-5876;1872-8464;;;MON;;;Elsevier;
International Journal Of Peptide Research And Therapeutics;Int J Pept Res Ther;1573-3149;1573-3904;;;QUA;;;Springer;
International Journal Of Performance Analysis In Sport;;1474-8185;;;;TRI;;;;
International Journal Of Periodontics & Restorative Dentistry;Int J Periodontics Restorative Dent;0198-7569;1945-3388;;;BIM;;;;
International Journal Of Pest Management;;0967-0874;1366-5863;;;QUA;;;;
International Journal Of Pharmaceutical Compounding;Int J Pharm Compd;1092-4221;1943-5223;;;BIM;;;;
International Journal Of Pharmaceutics;Int J Pharm;0378-5173;1873-3476;;;;;;Elsevier;
International Journal Of Pharmacology;;1811-7775;1812-5700;;;BIM;;;;
International Journal Of Pharmacy Education And Practice;;1557-1017;;;;SEM;;;;
International Journal Of Pharmacy Practice;Int J Pharm Pract;0961-7671;2042-7174;;;BIM;;;Wiley;
International Journal Of Philosophical Studies;;0967-2559;1466-4542;;;BIM;;;;
International Journal Of Photoenergy;;1110-662X;1687-529X;;;QUA;;;;
International Journal Of Phycology And Phycochemistry;;1815-459X;;;;SEM;;;;
International Journal Of Physical Distribution & Logistics Management;;0960-0035;;;;MON;;;;
International Journal Of Physical Modelling In Geotechnics;;1346-213X;2042-6550;;;QUA;;;;
International Journal Of Phytoremediation;Int J Phytoremediation;1522-6514;1549-7879;;;MON;;;;
International Journal Of Plant Production;;1735-6814;1735-8043;;;QUA;;;;
International Journal Of Plant Sciences;Int J Plant Sci;1058-5893;;;;MON;;;;
International Journal Of Plasticity;;0749-6419;;;;MON;;;Elsevier;
International Journal Of Polymer Analysis And Characterization;;1023-666X;1563-5341;;;BIM;;;;
International Journal Of Polymer Science;Int J Polym Sci;1687-9422;;;;IRR;;;;
International Journal Of Polymeric Materials And Polymeric Biomaterials;Int J Polym Mater;0091-4037;1563-535X;;;;;;;
International Journal Of Powder Metallurgy; New Jersey);0888-7462;;;;BIM;;;;
International Journal Of Precision Engineering And Manufacturing;;2234-7593;;;;BIM;;;;
International Journal Of Precision Engineering And Manufacturing-Green Technology;;2288-6206;;;;QUA;;;;
International Journal Of Press-Politics;;1940-1612;;;;QUA;;;;
International Journal Of Pressure Vessels And Piping;;0308-0161;;;;MON;;;Elsevier;
International Journal Of Primatology;Int J Primatol;0164-0291;;;;BIM;;;Springer;
International Journal Of Production Economics;;0925-5273;;;;MON;;;Elsevier;
International Journal Of Production Research;;0020-7543;1366-588X;;;;;;;
International Journal Of Project Management;;0263-7863;;;;BIM;;;Elsevier;
International Journal Of Prosthodontics;Int J Prosthodont;0893-2174;1942-4426;;;BIM;;;;
International Journal Of Psychiatry In Clinical Practice;Int J Psychiatry Clin Pract;1365-1501;1471-1788;;;QUA;;;;
International Journal Of Psychiatry In Medicine;Int J Psychiatry Med;0091-2174;1541-3527;;;QUA;;;;
International Journal Of Psychoanalysis;;0020-7578;1745-8315;;;BIM;;;Wiley;
